Source,Target,Weight,Type
417,259,10.0,Directed
417,414,16.0,Directed
417,502,14.0,Directed
417,601,29.0,Directed
417,677,26.0,Directed
417,792,22.0,Directed
417,806,17.0,Directed
417,825,22.0,Directed
259,361,9.0,Directed
259,382,7.0,Directed
259,502,18.0,Directed
259,601,22.0,Directed
259,613,17.0,Directed
259,632,18.0,Directed
259,761,48.0,Directed
361,259,18.0,Directed
361,613,28.0,Directed
361,761,21.0,Directed
613,259,25.0,Directed
613,361,17.0,Directed
613,601,15.0,Directed
613,761,21.0,Directed
601,327,22.0,Directed
601,728,27.0,Directed
761,259,27.0,Directed
761,382,18.0,Directed
761,414,17.0,Directed
761,502,20.0,Directed
761,613,43.0,Directed
382,522,19.0,Directed
522,536,31.0,Directed
522,569,24.0,Directed
522,652,77.0,Directed
536,396,21.0,Directed
536,558,29.0,Directed
536,625,30.0,Directed
536,641,21.0,Directed
536,803,33.0,Directed
569,581,28.0,Directed
569,583,33.0,Directed
569,694,44.0,Directed
569,736,26.0,Directed
569,756,23.0,Directed
569,803,28.0,Directed
502,382,34.0,Directed
502,408,12.0,Directed
502,652,64.0,Directed
502,738,10.0,Directed
502,740,7.0,Directed
502,741,33.0,Directed
502,743,7.0,Directed
502,786,10.0,Directed
408,319,16.0,Directed
408,382,32.0,Directed
408,418,20.0,Directed
408,501,37.0,Directed
408,502,35.0,Directed
408,519,27.0,Directed
408,522,16.0,Directed
408,647,34.0,Directed
408,740,37.0,Directed
408,741,30.0,Directed
319,382,44.0,Directed
319,408,55.0,Directed
319,502,41.0,Directed
319,652,14.0,Directed
319,738,29.0,Directed
319,739,12.0,Directed
319,740,34.0,Directed
319,741,53.0,Directed
319,743,42.0,Directed
319,744,37.0,Directed
418,317,14.0,Directed
418,367,40.0,Directed
418,372,16.0,Directed
418,382,25.0,Directed
418,447,30.0,Directed
418,519,38.0,Directed
418,609,14.0,Directed
418,644,32.0,Directed
418,652,22.0,Directed
501,362,40.0,Directed
501,382,18.0,Directed
501,447,23.0,Directed
501,502,42.0,Directed
501,503,25.0,Directed
501,504,23.0,Directed
501,534,38.0,Directed
501,652,29.0,Directed
519,367,38.0,Directed
519,382,23.0,Directed
519,418,66.0,Directed
519,447,36.0,Directed
519,503,23.0,Directed
519,522,41.0,Directed
519,553,54.0,Directed
519,652,14.0,Directed
519,758,19.0,Directed
647,276,51.0,Directed
647,309,39.0,Directed
647,316,50.0,Directed
647,360,32.0,Directed
647,383,15.0,Directed
647,394,24.0,Directed
647,405,13.0,Directed
647,437,34.0,Directed
647,456,38.0,Directed
647,457,38.0,Directed
647,498,22.0,Directed
647,504,16.0,Directed
647,505,37.0,Directed
647,513,32.0,Directed
647,546,5.0,Directed
647,552,31.0,Directed
647,584,28.0,Directed
647,609,45.0,Directed
647,626,24.0,Directed
647,645,14.0,Directed
647,650,32.0,Directed
647,663,25.0,Directed
647,679,33.0,Directed
647,681,18.0,Directed
647,711,12.0,Directed
647,750,11.0,Directed
647,768,21.0,Directed
647,779,26.0,Directed
647,785,40.0,Directed
647,823,28.0,Directed
740,382,28.0,Directed
740,408,26.0,Directed
740,418,18.0,Directed
740,743,24.0,Directed
741,259,21.0,Directed
741,319,24.0,Directed
741,331,16.0,Directed
741,382,40.0,Directed
741,408,42.0,Directed
741,502,22.0,Directed
741,613,20.0,Directed
741,652,13.0,Directed
741,738,25.0,Directed
741,739,27.0,Directed
741,740,47.0,Directed
741,742,23.0,Directed
741,743,37.0,Directed
741,761,12.0,Directed
738,319,36.0,Directed
738,331,34.0,Directed
738,375,18.0,Directed
738,382,60.0,Directed
738,408,52.0,Directed
738,502,45.0,Directed
738,652,26.0,Directed
738,739,22.0,Directed
738,740,25.0,Directed
738,741,61.0,Directed
738,742,45.0,Directed
738,743,69.0,Directed
738,744,21.0,Directed
738,761,25.0,Directed
331,319,26.0,Directed
331,375,33.0,Directed
331,382,42.0,Directed
331,408,45.0,Directed
331,502,49.0,Directed
331,521,30.0,Directed
331,738,39.0,Directed
331,739,37.0,Directed
331,740,35.0,Directed
331,741,63.0,Directed
331,742,20.0,Directed
331,743,52.0,Directed
331,744,25.0,Directed
331,746,37.0,Directed
331,755,27.0,Directed
331,761,43.0,Directed
375,319,42.0,Directed
375,331,48.0,Directed
375,382,53.0,Directed
375,408,52.0,Directed
375,418,25.0,Directed
375,521,72.0,Directed
375,652,31.0,Directed
375,738,73.0,Directed
375,739,75.0,Directed
375,740,30.0,Directed
375,741,60.0,Directed
375,742,43.0,Directed
375,743,51.0,Directed
375,744,34.0,Directed
375,746,37.0,Directed
739,319,43.0,Directed
739,331,57.0,Directed
739,375,36.0,Directed
739,382,53.0,Directed
739,408,53.0,Directed
739,502,34.0,Directed
739,521,35.0,Directed
739,613,26.0,Directed
739,652,51.0,Directed
739,738,42.0,Directed
739,740,57.0,Directed
739,741,58.0,Directed
739,742,24.0,Directed
739,743,71.0,Directed
739,744,38.0,Directed
739,746,17.0,Directed
739,761,36.0,Directed
742,319,45.0,Directed
742,331,65.0,Directed
742,375,44.0,Directed
742,382,71.0,Directed
742,408,42.0,Directed
742,502,78.0,Directed
742,521,57.0,Directed
742,652,42.0,Directed
742,738,81.0,Directed
742,739,51.0,Directed
742,740,65.0,Directed
742,741,96.0,Directed
742,743,55.0,Directed
742,744,26.0,Directed
742,745,16.0,Directed
742,746,29.0,Directed
742,761,18.0,Directed
743,319,32.0,Directed
743,382,53.0,Directed
743,408,27.0,Directed
743,502,42.0,Directed
743,738,72.0,Directed
743,739,33.0,Directed
743,740,62.0,Directed
743,741,16.0,Directed
743,744,32.0,Directed
744,293,5.0,Directed
744,319,41.0,Directed
744,331,16.0,Directed
744,382,53.0,Directed
744,408,38.0,Directed
