,streamer,Links_To,count
0,lilypichu,39daph,2
1,lilypichu,AnnChan295,1
2,lilypichu,AsianGuyStream,1
3,lilypichu,Brofain,1
4,lilypichu,ClashOfClans,1
5,lilypichu,Couriway,1
6,lilypichu,Darlz_,1
7,lilypichu,Demon,1
8,lilypichu,DisguisedToast,1
9,lilypichu,FeelsIncredibleMan,1
10,lilypichu,GameWithKiwi,1
11,lilypichu,GoodTimesWithScar,1
12,lilypichu,GratisStatus,1
13,lilypichu,Hoonigan,1
14,lilypichu,JayzTwoCents,1
15,lilypichu,JimmyHere,1
16,lilypichu,JjSaniTy2,1
17,lilypichu,JustaMinx,1
18,lilypichu,KristoferYee,1
19,lilypichu,Lacari,1
20,lilypichu,London2191,1
21,lilypichu,MaxVerstappen,1
22,lilypichu,Namikolinx,1
23,lilypichu,Natsumiii,1
24,lilypichu,OfflineTV,1
25,lilypichu,OliviaChiaki,1
26,lilypichu,QuestCape,1
27,lilypichu,RayTheGreatYT,1
28,lilypichu,RocketLeague,1
29,lilypichu,Scarra,1
30,lilypichu,Scouppi,1
31,lilypichu,SeeGreed,1
32,lilypichu,Shy_,1
33,lilypichu,SquidGame,1
34,lilypichu,Stressmonster,1
35,lilypichu,Stylosa,1
36,lilypichu,Sykkuno,1
37,lilypichu,TangoTek,1
38,lilypichu,TheFatRatTV,1
39,lilypichu,Theonemanny,1
40,lilypichu,Welsknight,1
41,lilypichu,Xisuma,1
42,lilypichu,ZedaphPlays,1
43,lilypichu,amewlul,1
44,lilypichu,bnans,1
45,lilypichu,brandilauren_,1
46,lilypichu,btsrocketleague,1
47,lilypichu,bwaaap,1
48,lilypichu,chinderella_gg,1
49,lilypichu,dish,1
50,lilypichu,fuslie,1
51,lilypichu,gemothy,1
52,lilypichu,iskall85,1
53,lilypichu,jankylankyTV,1
54,lilypichu,justin,1
55,lilypichu,karljacobs,1
56,lilypichu,kkatamina,1
57,lilypichu,landonorris,1
58,lilypichu,loltyler1,1
59,lilypichu,ludwig,1
60,lilypichu,michaelreeves,1
61,lilypichu,mr_goxx,1
62,lilypichu,nekkopii,1
63,lilypichu,pokimane,1
64,lilypichu,quqco,1
65,lilypichu,rojeanviel,1
66,lilypichu,thejonathon,1
67,lilypichu,tinketinke,1
68,lilypichu,tuonto,1
69,lilypichu,xChocoBars,1
70,lilypichu,xQcOW,1
71,lilypichu,yashaaachan,1
72,lilypichu,yvonnie,1
73,39daph,AverageJonas,2
74,39daph,Demon,1
75,39daph,Emiru,1
76,39daph,Emmyuh,1
77,39daph,Enviosity,1
78,39daph,FeelsIncredibleMan,1
79,39daph,FrtingGlitter,1
80,39daph,Hiko,1
81,39daph,Infernallyy,1
82,39daph,Jankos,1
83,39daph,JimmyHere,1
84,39daph,Kalei,1
85,39daph,KelseyDangerous,1
86,39daph,Lacari,1
87,39daph,Loserfruit,1
88,39daph,Luvonox,1
89,39daph,Maya,1
90,39daph,Mizkif,1
91,39daph,Mongraal,1
92,39daph,NedPT,1
93,39daph,Ninja,1
94,39daph,Nmplol,1
95,39daph,OfficialBoaster,1
96,39daph,OneUpOrganizer,1
97,39daph,PRXf0rsakeN,1
98,39daph,Pr0phie,1
99,39daph,QuestCape,1
100,39daph,RATIRL,1
101,39daph,RanbooLive,1
102,39daph,Riot Games,1
103,39daph,Rusteeze_,1
104,39daph,Shy_,1
105,39daph,Subroza,1
106,39daph,Sykkuno,1
107,39daph,TenZ,1
108,39daph,TheMrDrFishy,1
109,39daph,Tilde_Fox,1
110,39daph,VALORANT,1
111,39daph,Valeria7K,1
112,39daph,WARDELL,1
