Id,Label,Top Game,Language
0,109ace,Hearthstone,Korean
1,22karubi,VALORANT,Japanese
2,2chamcham2,League of Legends,Korean
3,39daph,Art,English
4,5uppp,Among Us,English
5,72hrs,Apex Legends,English
6,8cho,Just Chatting,Spanish
7,8ljaywalking,Teamfight Tactics,Korean
8,95pingman,Just Chatting,Korean
9,9ambler,League of Legends,Korean
10,AdinRoss,Just Chatting,English
11,AgenteMaxo,Just Chatting,Spanish
12,Alanzoka,Just Chatting,Portuguese
13,Alexby11,Just Chatting,Spanish
14,Alinity,Just Chatting,English
15,Alliege,Fortnite,Spanish
16,AlphaCast,Just Chatting,French
17,Amouranth,ASMR,English
18,Ampeterby7,Fortnite,Spanish
19,Anas_Off,Grand Theft Auto V,French
20,Antfrost,Minecraft,English
21,AntoineDaniel,GeoGuessr,French
22,AriGameplays,Minecraft,Spanish
23,AriaSaki,Just Chatting,English
24,Ash_on_LoL,Grand Theft Auto V,English
25,Asmongold,World of Warcraft,English
26,AsunaWEEB,VALORANT,English
27,AussieAntics,Fortnite,English
28,AustinShow,Just Chatting,English
29,AverageJonas,VALORANT,English
30,Aydan,Call of Duty: Warzone,English
31,BENIJU03,Clash Royale,Spanish
32,BLOU,Just Chatting,English
33,BadBoyHalo,Minecraft,English
34,Baiano,League of Legends,Portuguese
35,BarcaGamer,Just Chatting,Spanish
36,BoomerNA,Minecraft,English
37,BrookeAB,Just Chatting,English
38,BruceGrannec,FIFA 21,French
39,Bugha,Fortnite,English
40,CBLOL,League of Legends,Portuguese
41,CDawgVA,Apex Legends,English
42,CaptainPuffy,Minecraft,English
43,CaptainSparklez,Minecraft,English
44,Carola,Minecraft,Spanish
45,Carreraaa,Just Chatting,Spanish
46,Cellbit,Just Chatting,Portuguese
47,Chanzes,Fortnite,English
48,Chica,Fortnite,English
49,ClintStevens,Super Mario 64,English
50,Clix,Fortnite,English
51,Co1azo,Fortnite,English
52,CodeMiko,Just Chatting,English
53,ConnorEatsPants,Just Chatting,English
54,CooLifeGame,Grand Theft Auto V,Spanish
55,Corpse_Husband,Back 4 Blood,English
56,CrankGameplays,Resident Evil Village,English
57,CriticalRole,Dungeons & Dragons,English
58,D3stri,Grand Theft Auto V,Spanish
59,DanTDM,Minecraft,English
60,DavyJones,Call of Duty: Warzone,Portuguese
61,Deujna,Just Chatting,French
62,Dilera,Call of Duty: Warzone,Portuguese
63,DisguisedToast,Just Chatting,English
64,Doigby,Minecraft,French
65,Domingo,Just Chatting,French
66,DreamAlt_,Minecraft,English
67,DropsByPonk,Minecraft,English
68,EASPORTSFIFA,FIFA 21,English
69,ESL_CSGO,Counter-Strike: Global Offensive,English
70,ElMariana,Just Chatting,Spanish
71,ElSpreen,Just Chatting,Spanish
72,EmadGG,Fortnite,English
73,Emiru,League of Legends,English
74,Enviosity,Genshin Impact,English
75,Eret,Minecraft,English
76,EsfandTV,World of Warcraft,English
77,Etoiles,Just Chatting,French
78,FaZeSway,Fortnite,English
79,Faker,League of Legends,Korean
80,FarfadoxVEVO,Minecraft,Spanish
81,Felps,Just Chatting,Portuguese
82,Fernanfloo,Fortnite,Spanish
83,Fextralife,New World,English
84,FlowPodcast,Talk Shows & Podcasts,Portuguese
85,Foolish_Gamers,VALORANT,English
86,Fortnite,Fortnite,English
87,Fresh,Fortnite,English
88,Froggen,League of Legends,English
89,Fundy,Minecraft,English
90,G0ularte,Just Chatting,Portuguese
91,Gabi,Just Chatting,Portuguese
92,Gaules,Counter-Strike: Global Offensive,Portuguese
93,Gemita,Just Chatting,Spanish
94,GenshinImpactOfficial,Genshin Impact,English
95,GeorgeNotFound,Minecraft,English
96,Gotaga,Call of Duty: Warzone,French
97,Greekgodx,Just Chatting,English
98,Guaxinim,Just Chatting,Portuguese
99,HBomb94,Minecraft,English
100,HasanAbi,Just Chatting,English
101,Hiko,VALORANT,English
102,IamCristinini,Grand Theft Auto V,Spanish
103,Inoxtag,Just Chatting,French
104,JASONR,VALORANT,English
105,JLAmaru,Just Chatting,French
106,JLBichouu,Grand Theft Auto V,French
107,JLTomy,Grand Theft Auto V,French
108,JackManifoldTV,Minecraft,English
109,JaggerPrincesa,Just Chatting,Spanish
110,JeanPormanove,Fortnite,French
111,JeelTV,Just Chatting,French
