,streamer,Links_To,count
0,TenZ,8cho,12
1,TenZ,ANTHONYEVELYNN,14
2,TenZ,AirAngel,10
3,TenZ,Alexby11,6
4,TenZ,ApenasUmBr_,10
5,TenZ,Apryze,10
6,TenZ,AustinShow,10
7,TenZ,BENIJU03,6
8,TenZ,BLASTPremier,8
9,TenZ,BREEZE_FPS,9
10,TenZ,BigSpinCR,10
11,TenZ,Boomrazzle,10
12,TenZ,Brian_F,10
13,TenZ,BrunoRato_,8
14,TenZ,Burn,10
15,TenZ,C9__Ghost,9
16,TenZ,Cassediller,8
17,TenZ,Castro_1021,8
18,TenZ,ChadDraven,10
19,TenZ,Chaosxkiwi74,8
20,TenZ,CorinaBoettger,8
21,TenZ,CybinH,9
22,TenZ,Daenerysz,10
23,TenZ,DaruINo,10
24,TenZ,Dionzakun,6
25,TenZ,Doublelift,10
26,TenZ,DougDougW,8
27,TenZ,DreamHackCS,8
28,TenZ,Drututt,10
29,TenZ,EASPORTSFIFA,8
30,TenZ,ESAMarathon,10
31,TenZ,ESL_CSGO,8
32,TenZ,ESL_CSGOb,8
33,TenZ,ErasusPlay,10
34,TenZ,FEDMYSTER,8
35,TenZ,Faide,10
36,TenZ,GMHikaru,8
37,TenZ,Gragolandia1,10
38,TenZ,GratisStatus,8
39,TenZ,Gryffinn,10
40,TenZ,Guilty,10
41,TenZ,Gumayusi,10
42,TenZ,Harry,10
43,TenZ,HarryHesketh,10
44,TenZ,HasanAbi,10
45,TenZ,Hiko,10
46,TenZ,Hipyo,8
47,TenZ,Hugofrost_osu,10
48,TenZ,IFCYipeS,10
49,TenZ,Icevallosh,6
50,TenZ,ItsLowfy,8
51,TenZ,Jack,10
52,TenZ,JackManifoldTV,8
53,TenZ,JackieLastra,8
54,TenZ,JaggerPrincesa,6
55,TenZ,Jerma985,10
56,TenZ,Joe_Bartolozzi,8
57,TenZ,JustaMinx,10
58,TenZ,KORASIII,10
59,TenZ,Kallmekris,8
60,TenZ,KatEvolved,10
61,TenZ,KolaIRL,8
62,TenZ,Kyedae,10
63,TenZ,Kyouya_Sama,8
64,TenZ,LCK_Korea,10
65,TenZ,Lianeu,8
66,TenZ,Littl3GOD,9
67,TenZ,LuluLuvely,10
68,TenZ,Mande,10
69,TenZ,Marleypd,10
70,TenZ,MattchuThePichu,6
71,TenZ,MetaphorVariety,10
72,TenZ,Mylonzete,10
