Source,Target
0,697
0,670
0,334
0,586
0,806
0,387
0,701
0,492
0,262
0,502
0,760
0,798
0,269
0,361
0,598
0,61
1,402
1,659
1,217
1,139
1,147
1,300
1,88
1,730
1,415
1,380
1,480
1,577
1,725
1,39
1,90
1,76
1,775
1,627
1,107
2,354
2,232
2,671
2,124
2,825
2,812
2,28
2,736
2,523
2,522
3,377
3,320
3,50
3,378
3,482
3,79
3,26
3,233
4,542
4,173
4,619
4,272
4,326
4,329
4,823
4,261
4,751
4,783
4,718
4,113
4,596
4,767
4,826
5,570
5,534
5,619
5,494
5,54
5,589
5,477
5,292
5,342
5,134
5,250
5,561
5,742
5,758
5,385
5,237
5,773
5,179
6,52
6,385
6,277
6,37
6,154
6,759
6,111
6,46
6,319
6,783
6,253
6,425
6,666
6,206
6,761
7,642
7,568
7,42
7,632
7,15
7,584
7,666
7,152
7,238
7,512
7,147
7,240
7,589
7,44
8,382
8,646
8,151
8,792
8,75
8,658
8,142
8,385
8,145
8,253
8,736
8,96
9,629
9,50
9,542
9,335
9,295
9,408
9,47
9,206
9,529
9,176
9,339
9,510
9,268
9,352
9,613
9,112
9,720
9,705
10,160
10,227
10,379
10,249
10,646
10,769
10,681
10,210
10,771
10,359
10,750
10,392
10,706
10,652
10,574
10,469
10,594
11,263
11,708
11,305
11,742
11,532
11,29
11,733
11,124
11,92
11,464
11,46
12,588
12,50
12,486
12,365
12,201
12,628
12,26
12,35
12,499
12,449
12,325
12,538
13,522
13,157
13,121
13,730
13,133
13,197
13,385
13,584
13,592
13,397
13,785
13,304
13,712
13,622
13,684
13,682
13,328
13,286
14,294
14,422
14,286
14,636
14,102
14,210
14,282
14,462
14,49
14,454
14,225
14,468
14,459
14,302
14,566
14,601
14,594
14,743
15,739
15,32
15,327
15,28
15,190
15,390
15,724
15,267
15,382
15,792
15,459
15,719
15,278
15,547
15,367
16,466
16,110
16,771
16,62
16,735
16,612
16,756
16,737
16,632
16,179
16,385
16,288
16,691
16,818
16,548
17,76
17,507
17,516
17,448
17,602
17,565
17,549
17,633
17,71
17,146
17,63
17,421
17,272
18,310
18,773
18,214
18,39
18,412
18,729
18,142
18,759
18,815
18,702
18,564
18,425
18,31
18,75
18,362
18,165
18,414
19,170
19,252
19,239
19,804
19,169
19,104
19,651
19,254
19,455
19,304
19,714
19,692
19,149
19,439
19,551
19,620
19,821
19,106
19,151
20,253
20,390
20,220
20,214
20,417
20,162
20,775
20,544
20,182
20,621
20,173
20,269
20,263
20,76
20,471
20,562
20,597
20,792
21,702
21,525
21,555
21,385
21,713
21,671
21,100
21,559
21,40
21,375
21,567
21,570
21,149
21,478
21,128
21,327
21,530
22,750
22,803
22,689
22,320
22,62
22,37
22,335
22,485
22,163
22,401
22,152
22,149
22,769
22,104
23,573
23,688
23,90
23,257
23,286
23,41
23,598
23,239
23,124
23,46
23,600
23,386
24,780
24,746
24,762
24,144
24,737
24,744
24,598
24,544
24,521
24,620
24,421
25,594
25,644
25,611
25,189
25,670
25,99
25,739
25,821
25,326
25,823
25,39
25,561
25,577
25,233
25,217
25,753
25,231
25,185
25,118
25,418
25,624
26,542
26,286
26,578
26,584
26,692
26,365
26,346
26,297
27,645
27,503
27,312
27,109
27,44
27,529
27,627
27,320
27,748
27,827
27,120
27,414
27,643
27,661
27,278
27,187
28,715
28,659
28,392
28,624
28,494
28,455
28,164
28,736
28,728
28,725
28,784
29,338
29,349
29,741
29,546
29,533
29,494
29,101
29,609
29,368
29,54
29,764
29,477
29,253
29,766
29,714
29,828
29,534
30,114
30,41
30,540
30,668
30,674
30,211
31,116
31,705
31,184
31,494
31,648
31,497
31,133
31,352
31,426
32,108
32,703
32,534
32,206
32,654
32,278
32,596
32,822
32,646
32,196
32,474
32,643
32,341
32,760
