Source,Target,Weight,Type,Source Top Game,Target Top Game,Source Language,Target Language
hanryang1125,aba4647,10.0,Directed,Escape From Tarkov,League of Legends,Korean,Korean
hanryang1125,handongsuk,16.0,Directed,Escape From Tarkov,LOST ARK,Korean,Korean
hanryang1125,lck_korea,14.0,Directed,Escape From Tarkov,League of Legends,Korean,Korean
hanryang1125,obm1025,29.0,Directed,Escape From Tarkov,Just Chatting,Korean,Korean
hanryang1125,saddummy,26.0,Directed,Escape From Tarkov,Just Chatting,Korean,Korean
hanryang1125,woowakgood,22.0,Directed,Escape From Tarkov,Just Chatting,Korean,Korean
hanryang1125,yapyap30,17.0,Directed,Escape From Tarkov,LOST ARK,Korean,Korean
hanryang1125,zilioner,22.0,Directed,Escape From Tarkov,Just Chatting,Korean,Korean
aba4647,dopa24,9.0,Directed,League of Legends,League of Legends,Korean,Korean
aba4647,faker,7.0,Directed,League of Legends,League of Legends,Korean,Korean
aba4647,lck_korea,18.0,Directed,League of Legends,League of Legends,Korean,Korean
aba4647,obm1025,22.0,Directed,League of Legends,Just Chatting,Korean,Korean
aba4647,paka9999,17.0,Directed,League of Legends,League of Legends,Korean,Korean
aba4647,qcnb123,18.0,Directed,League of Legends,League of Legends,Korean,Korean
aba4647,tmxk319,48.0,Directed,League of Legends,League of Legends,Korean,Korean
dopa24,aba4647,18.0,Directed,League of Legends,League of Legends,Korean,Korean
dopa24,paka9999,28.0,Directed,League of Legends,League of Legends,Korean,Korean
dopa24,tmxk319,21.0,Directed,League of Legends,League of Legends,Korean,Korean
paka9999,aba4647,25.0,Directed,League of Legends,League of Legends,Korean,Korean
paka9999,dopa24,17.0,Directed,League of Legends,League of Legends,Korean,Korean
paka9999,obm1025,15.0,Directed,League of Legends,Just Chatting,Korean,Korean
paka9999,tmxk319,21.0,Directed,League of Legends,League of Legends,Korean,Korean
obm1025,chodan_,22.0,Directed,Just Chatting,Just Chatting,Korean,Korean
obm1025,sunbaking,27.0,Directed,Just Chatting,Just Chatting,Korean,Korean
tmxk319,aba4647,27.0,Directed,League of Legends,League of Legends,Korean,Korean
tmxk319,faker,18.0,Directed,League of Legends,League of Legends,Korean,Korean
tmxk319,handongsuk,17.0,Directed,League of Legends,LOST ARK,Korean,Korean
tmxk319,lck_korea,20.0,Directed,League of Legends,League of Legends,Korean,Korean
tmxk319,paka9999,43.0,Directed,League of Legends,League of Legends,Korean,Korean
faker,loltyler1,19.0,Directed,League of Legends,League of Legends,Korean,English
loltyler1,ludwig,31.0,Directed,League of Legends,Just Chatting,English,English
loltyler1,myth,24.0,Directed,League of Legends,VALORANT,English,English
loltyler1,riotgames,77.0,Directed,League of Legends,League of Legends,English,English
ludwig,fuslie,21.0,Directed,Just Chatting,VALORANT,English,English
ludwig,mizkif,29.0,Directed,Just Chatting,Just Chatting,English,English
ludwig,pokimane,30.0,Directed,Just Chatting,VALORANT,English,English
ludwig,ranboolive,21.0,Directed,Just Chatting,Minecraft,English,English
ludwig,xqcow,33.0,Directed,Just Chatting,Grand Theft Auto V,English,English
myth,nickmercs,28.0,Directed,VALORANT,Call of Duty: Warzone,English,English
myth,ninja,33.0,Directed,VALORANT,League of Legends,English,English
myth,shroud,44.0,Directed,VALORANT,VALORANT,English,English
myth,sykkuno,26.0,Directed,VALORANT,Grand Theft Auto V,English,English
myth,tfue,23.0,Directed,VALORANT,Apex Legends,English,English
myth,xqcow,28.0,Directed,VALORANT,Grand Theft Auto V,English,English
lck_korea,faker,34.0,Directed,League of Legends,League of Legends,Korean,Korean
lck_korea,gumayusi,12.0,Directed,League of Legends,League of Legends,Korean,Korean
lck_korea,riotgames,64.0,Directed,League of Legends,League of Legends,Korean,English
lck_korea,t1_cuzz,10.0,Directed,League of Legends,League of Legends,Korean,Korean
