Source,Target,Weight,Type,Source Top Game,Target Top Game,Source Language,Target Language,Activation,Timestamp
hanryang1125,aba4647,10.0,Directed,Escape From Tarkov,League of Legends,Korean,Korean,False,15
hanryang1125,handongsuk,16.0,Directed,Escape From Tarkov,LOST ARK,Korean,Korean,False,15
hanryang1125,lck_korea,14.0,Directed,Escape From Tarkov,League of Legends,Korean,Korean,False,15
hanryang1125,obm1025,29.0,Directed,Escape From Tarkov,Just Chatting,Korean,Korean,False,15
hanryang1125,saddummy,26.0,Directed,Escape From Tarkov,Just Chatting,Korean,Korean,False,15
hanryang1125,woowakgood,22.0,Directed,Escape From Tarkov,Just Chatting,Korean,Korean,False,15
hanryang1125,yapyap30,17.0,Directed,Escape From Tarkov,LOST ARK,Korean,Korean,True,9
hanryang1125,zilioner,22.0,Directed,Escape From Tarkov,Just Chatting,Korean,Korean,False,15
aba4647,dopa24,9.0,Directed,League of Legends,League of Legends,Korean,Korean,False,3
aba4647,faker,7.0,Directed,League of Legends,League of Legends,Korean,Korean,False,15
aba4647,lck_korea,18.0,Directed,League of Legends,League of Legends,Korean,Korean,False,15
aba4647,obm1025,22.0,Directed,League of Legends,Just Chatting,Korean,Korean,True,3
aba4647,paka9999,17.0,Directed,League of Legends,League of Legends,Korean,Korean,False,15
aba4647,qcnb123,18.0,Directed,League of Legends,League of Legends,Korean,Korean,True,3
aba4647,tmxk319,48.0,Directed,League of Legends,League of Legends,Korean,Korean,False,15
dopa24,aba4647,18.0,Directed,League of Legends,League of Legends,Korean,Korean,False,15
dopa24,paka9999,28.0,Directed,League of Legends,League of Legends,Korean,Korean,False,15
dopa24,tmxk319,21.0,Directed,League of Legends,League of Legends,Korean,Korean,False,15
paka9999,aba4647,25.0,Directed,League of Legends,League of Legends,Korean,Korean,False,15
paka9999,dopa24,17.0,Directed,League of Legends,League of Legends,Korean,Korean,False,15
paka9999,obm1025,15.0,Directed,League of Legends,Just Chatting,Korean,Korean,False,15
paka9999,tmxk319,21.0,Directed,League of Legends,League of Legends,Korean,Korean,False,15
obm1025,chodan_,22.0,Directed,Just Chatting,Just Chatting,Korean,Korean,True,4
obm1025,sunbaking,27.0,Directed,Just Chatting,Just Chatting,Korean,Korean,True,4
tmxk319,aba4647,27.0,Directed,League of Legends,League of Legends,Korean,Korean,False,15
tmxk319,faker,18.0,Directed,League of Legends,League of Legends,Korean,Korean,False,15
tmxk319,handongsuk,17.0,Directed,League of Legends,LOST ARK,Korean,Korean,False,15
tmxk319,lck_korea,20.0,Directed,League of Legends,League of Legends,Korean,Korean,False,15
tmxk319,paka9999,43.0,Directed,League of Legends,League of Legends,Korean,Korean,False,15
faker,loltyler1,19.0,Directed,League of Legends,League of Legends,Korean,English,True,2
loltyler1,ludwig,31.0,Directed,League of Legends,Just Chatting,English,English,False,15
loltyler1,myth,24.0,Directed,League of Legends,VALORANT,English,English,True,3
loltyler1,riotgames,77.0,Directed,League of Legends,League of Legends,English,English,False,15
ludwig,fuslie,21.0,Directed,Just Chatting,VALORANT,English,English,False,15
ludwig,mizkif,29.0,Directed,Just Chatting,Just Chatting,English,English,False,15
ludwig,pokimane,30.0,Directed,Just Chatting,VALORANT,English,English,False,15
ludwig,ranboolive,21.0,Directed,Just Chatting,Minecraft,English,English,False,15
ludwig,xqcow,33.0,Directed,Just Chatting,Grand Theft Auto V,English,English,False,15
myth,nickmercs,28.0,Directed,VALORANT,Call of Duty: Warzone,English,English,True,4
myth,ninja,33.0,Directed,VALORANT,League of Legends,English,English,True,4
myth,shroud,44.0,Directed,VALORANT,VALORANT,English,English,False,15
myth,sykkuno,26.0,Directed,VALORANT,Grand Theft Auto V,English,English,True,4
myth,tfue,23.0,Directed,VALORANT,Apex Legends,English,English,True,4
myth,xqcow,28.0,Directed,VALORANT,Grand Theft Auto V,English,English,True,4
lck_korea,faker,34.0,Directed,League of Legends,League of Legends,Korean,Korean,True,1
lck_korea,gumayusi,12.0,Directed,League of Legends,League of Legends,Korean,Korean,False,1
lck_korea,riotgames,64.0,Directed,League of Legends,League of Legends,Korean,English,True,1
lck_korea,t1_cuzz,10.0,Directed,League of Legends,League of Legends,Korean,Korean,False,1
lck_korea,t1_keria,7.0,Directed,League of Legends,League of Legends,Korean,Korean,False,1
lck_korea,t1_oner,33.0,Directed,League of Legends,League of Legends,Korean,Korean,True,1
lck_korea,t1_teddy,7.0,Directed,League of Legends,League of Legends,Korean,Korean,False,1
lck_korea,wildriftesports,10.0,Directed,League of Legends,League of Legends: Wild Rift,Korean,English,True,1
gumayusi,canna,16.0,Directed,League of Legends,League of Legends,Korean,Korean,False,15
gumayusi,faker,32.0,Directed,League of Legends,League of Legends,Korean,Korean,False,15
gumayusi,hanssama,20.0,Directed,League of Legends,League of Legends,Korean,English,False,15
gumayusi,lck,37.0,Directed,League of Legends,League of Legends,Korean,English,False,15
gumayusi,lck_korea,35.0,Directed,League of Legends,League of Legends,Korean,Korean,False,15
gumayusi,lol_nemesis,27.0,Directed,League of Legends,League of Legends,Korean,English,False,15
gumayusi,loltyler1,16.0,Directed,League of Legends,League of Legends,Korean,English,False,15
gumayusi,rekkles,34.0,Directed,League of Legends,League of Legends,Korean,English,False,15
gumayusi,t1_keria,37.0,Directed,League of Legends,League of Legends,Korean,Korean,False,15
gumayusi,t1_oner,30.0,Directed,League of Legends,League of Legends,Korean,Korean,False,15
canna,faker,44.0,Directed,League of Legends,League of Legends,Korean,Korean,False,15
canna,gumayusi,55.0,Directed,League of Legends,League of Legends,Korean,Korean,False,15
canna,lck_korea,41.0,Directed,League of Legends,League of Legends,Korean,Korean,False,15
canna,riotgames,14.0,Directed,League of Legends,League of Legends,Korean,English,False,15
canna,t1_cuzz,29.0,Directed,League of Legends,League of Legends,Korean,Korean,False,15
canna,t1_ellim,12.0,Directed,League of Legends,League of Legends,Korean,Korean,False,15
canna,t1_keria,34.0,Directed,League of Legends,League of Legends,Korean,Korean,False,15
canna,t1_oner,53.0,Directed,League of Legends,League of Legends,Korean,Korean,False,15
canna,t1_teddy,42.0,Directed,League of Legends,League of Legends,Korean,Korean,False,15
canna,t1esports,37.0,Directed,League of Legends,League of Legends,Korean,Korean,True,3
hanssama,caedrel,14.0,Directed,League of Legends,League of Legends,English,English,False,5
hanssama,drututt,40.0,Directed,League of Legends,League of Legends,English,English,True,5
hanssama,dzukill,16.0,Directed,League of Legends,League of Legends,English,English,True,5
hanssama,faker,25.0,Directed,League of Legends,League of Legends,English,Korean,False,15
hanssama,jankos,30.0,Directed,League of Legends,League of Legends,English,English,True,5
hanssama,lol_nemesis,38.0,Directed,League of Legends,League of Legends,English,English,True,5
hanssama,otplol_,14.0,Directed,League of Legends,League of Legends,English,French,False,5
hanssama,ratirl,32.0,Directed,League of Legends,League of Legends,English,English,True,5
hanssama,riotgames,22.0,Directed,League of Legends,League of Legends,English,English,False,15
lck,doublelift,40.0,Directed,League of Legends,League of Legends,English,English,False,15
lck,faker,18.0,Directed,League of Legends,League of Legends,English,Korean,False,15
lck,jankos,23.0,Directed,League of Legends,League of Legends,English,English,False,15
lck,lck_korea,42.0,Directed,League of Legends,League of Legends,English,Korean,False,15
lck,lcs,25.0,Directed,League of Legends,League of Legends,English,English,False,15
lck,lec,23.0,Directed,League of Legends,League of Legends,English,English,False,15
lck,lpl,38.0,Directed,League of Legends,League of Legends,English,English,False,15
lck,riotgames,29.0,Directed,League of Legends,League of Legends,English,English,False,15
lol_nemesis,drututt,38.0,Directed,League of Legends,League of Legends,English,English,False,15
lol_nemesis,faker,23.0,Directed,League of Legends,League of Legends,English,Korean,False,15
lol_nemesis,hanssama,66.0,Directed,League of Legends,League of Legends,English,English,False,15
lol_nemesis,jankos,36.0,Directed,League of Legends,League of Legends,English,English,False,15
lol_nemesis,lcs,23.0,Directed,League of Legends,League of Legends,English,English,True,6
lol_nemesis,loltyler1,41.0,Directed,League of Legends,League of Legends,English,English,False,15
lol_nemesis,midbeast,54.0,Directed,League of Legends,League of Legends,English,English,False,15
lol_nemesis,riotgames,14.0,Directed,League of Legends,League of Legends,English,English,False,15
lol_nemesis,thebausffs,19.0,Directed,League of Legends,League of Legends,English,English,False,15
rekkles,aminematue,51.0,Directed,League of Legends,Grand Theft Auto V,English,French,False,15
rekkles,botezlive,39.0,Directed,League of Legends,Just Chatting,English,English,False,15
rekkles,cabochardlol,50.0,Directed,League of Legends,League of Legends,English,French,False,15
rekkles,doigby,32.0,Directed,League of Legends,Minecraft,English,French,False,15
rekkles,fantabobshow,15.0,Directed,League of Legends,Pathfinder: Kingmaker,English,French,False,15
rekkles,fr_zod,24.0,Directed,League of Legends,Apex Legends,English,French,False,15
rekkles,gotaga,13.0,Directed,League of Legends,Call of Duty: Warzone,English,French,False,15
rekkles,inoxtag,34.0,Directed,League of Legends,Special Events,English,French,False,15
rekkles,jlamaru,38.0,Directed,League of Legends,Just Chatting,English,French,False,15
rekkles,jltomy,38.0,Directed,League of Legends,Grand Theft Auto V,English,French,False,15
rekkles,laurebv,22.0,Directed,League of Legends,Just Chatting,English,French,False,15
rekkles,lec,16.0,Directed,League of Legends,League of Legends,English,English,False,15
rekkles,lec_wooloo,37.0,Directed,League of Legends,League of Legends,English,English,False,15
rekkles,littlebigwhale,32.0,Directed,League of Legends,Just Chatting,English,French,False,15
rekkles,marexlol,5.0,Directed,League of Legends,League of Legends,English,French,False,15
rekkles,michou_twitch,31.0,Directed,League of Legends,Minecraft,English,French,False,15
rekkles,nisqyy,28.0,Directed,League of Legends,League of Legends,English,French,False,15
rekkles,otplol_,45.0,Directed,League of Legends,League of Legends,English,French,False,15
rekkles,ponce,24.0,Directed,League of Legends,Just Chatting,English,French,False,15
rekkles,rebeudeter,14.0,Directed,League of Legends,League of Legends,English,French,False,15
rekkles,ricadam_lol,32.0,Directed,League of Legends,League of Legends,English,French,False,15
rekkles,rocketbaguette,25.0,Directed,League of Legends,Rocket League,English,French,False,15
rekkles,saken_lol,33.0,Directed,League of Legends,League of Legends,English,French,False,15
rekkles,samueletienne,18.0,Directed,League of Legends,Just Chatting,English,French,False,15
rekkles,solary,12.0,Directed,League of Legends,League of Legends,English,French,False,15
rekkles,targamas1,11.0,Directed,League of Legends,League of Legends,English,French,False,15
rekkles,traytonlol,21.0,Directed,League of Legends,League of Legends,English,French,False,15
rekkles,vetheo,26.0,Directed,League of Legends,League of Legends,English,French,False,15
rekkles,waolol1,40.0,Directed,League of Legends,League of Legends,English,French,False,15
rekkles,zevent,28.0,Directed,League of Legends,Special Events,English,French,False,15
t1_keria,faker,28.0,Directed,League of Legends,League of Legends,Korean,Korean,False,15
t1_keria,gumayusi,26.0,Directed,League of Legends,League of Legends,Korean,Korean,False,15
t1_keria,hanssama,18.0,Directed,League of Legends,League of Legends,Korean,English,False,15
t1_keria,t1_teddy,24.0,Directed,League of Legends,League of Legends,Korean,Korean,False,15
t1_oner,aba4647,21.0,Directed,League of Legends,League of Legends,Korean,Korean,True,2
t1_oner,canna,24.0,Directed,League of Legends,League of Legends,Korean,Korean,True,2
t1_oner,clozer_t1,16.0,Directed,League of Legends,League of Legends,Korean,Korean,True,2
t1_oner,faker,40.0,Directed,League of Legends,League of Legends,Korean,Korean,False,15
t1_oner,gumayusi,42.0,Directed,League of Legends,League of Legends,Korean,Korean,False,15
t1_oner,lck_korea,22.0,Directed,League of Legends,League of Legends,Korean,Korean,False,15
t1_oner,paka9999,20.0,Directed,League of Legends,League of Legends,Korean,Korean,True,2
t1_oner,riotgames,13.0,Directed,League of Legends,League of Legends,Korean,English,False,15
t1_oner,t1_cuzz,25.0,Directed,League of Legends,League of Legends,Korean,Korean,False,15
t1_oner,t1_ellim,27.0,Directed,League of Legends,League of Legends,Korean,Korean,True,2
t1_oner,t1_keria,47.0,Directed,League of Legends,League of Legends,Korean,Korean,False,15
t1_oner,t1_roach,23.0,Directed,League of Legends,League of Legends,Korean,Korean,True,2
t1_oner,t1_teddy,37.0,Directed,League of Legends,League of Legends,Korean,Korean,False,15
t1_oner,tmxk319,12.0,Directed,League of Legends,League of Legends,Korean,Korean,False,2
t1_cuzz,canna,36.0,Directed,League of Legends,League of Legends,Korean,Korean,False,15
t1_cuzz,clozer_t1,34.0,Directed,League of Legends,League of Legends,Korean,Korean,False,15
t1_cuzz,effort,18.0,Directed,League of Legends,other,Korean,Korean,False,15
t1_cuzz,faker,60.0,Directed,League of Legends,League of Legends,Korean,Korean,False,15
t1_cuzz,gumayusi,52.0,Directed,League of Legends,League of Legends,Korean,Korean,False,15
t1_cuzz,lck_korea,45.0,Directed,League of Legends,League of Legends,Korean,Korean,False,15
t1_cuzz,riotgames,26.0,Directed,League of Legends,League of Legends,Korean,English,False,15
t1_cuzz,t1_ellim,22.0,Directed,League of Legends,League of Legends,Korean,Korean,False,15
t1_cuzz,t1_keria,25.0,Directed,League of Legends,League of Legends,Korean,Korean,False,15
t1_cuzz,t1_oner,61.0,Directed,League of Legends,League of Legends,Korean,Korean,False,15
t1_cuzz,t1_roach,45.0,Directed,League of Legends,League of Legends,Korean,Korean,False,15
t1_cuzz,t1_teddy,69.0,Directed,League of Legends,League of Legends,Korean,Korean,False,15
t1_cuzz,t1esports,21.0,Directed,League of Legends,League of Legends,Korean,Korean,False,15
t1_cuzz,tmxk319,25.0,Directed,League of Legends,League of Legends,Korean,Korean,False,15
clozer_t1,canna,26.0,Directed,League of Legends,League of Legends,Korean,Korean,False,15
clozer_t1,effort,33.0,Directed,League of Legends,other,Korean,Korean,True,3
clozer_t1,faker,42.0,Directed,League of Legends,League of Legends,Korean,Korean,False,15
clozer_t1,gumayusi,45.0,Directed,League of Legends,League of Legends,Korean,Korean,False,15
clozer_t1,lck_korea,49.0,Directed,League of Legends,League of Legends,Korean,Korean,False,15
clozer_t1,lol_woolf,30.0,Directed,League of Legends,League of Legends,Korean,Korean,True,3
clozer_t1,t1_cuzz,39.0,Directed,League of Legends,League of Legends,Korean,Korean,False,15
clozer_t1,t1_ellim,37.0,Directed,League of Legends,League of Legends,Korean,Korean,False,15
clozer_t1,t1_keria,35.0,Directed,League of Legends,League of Legends,Korean,Korean,False,15
clozer_t1,t1_oner,63.0,Directed,League of Legends,League of Legends,Korean,Korean,False,15
clozer_t1,t1_roach,20.0,Directed,League of Legends,League of Legends,Korean,Korean,False,15
clozer_t1,t1_teddy,52.0,Directed,League of Legends,League of Legends,Korean,Korean,False,15
clozer_t1,t1esports,25.0,Directed,League of Legends,League of Legends,Korean,Korean,False,15
clozer_t1,t1zeus_,37.0,Directed,League of Legends,League of Legends,Korean,Korean,True,3
clozer_t1,tfblade,27.0,Directed,League of Legends,League of Legends,Korean,English,True,3
clozer_t1,tmxk319,43.0,Directed,League of Legends,League of Legends,Korean,Korean,False,15
effort,canna,42.0,Directed,other,League of Legends,Korean,Korean,False,15
effort,clozer_t1,48.0,Directed,other,League of Legends,Korean,Korean,False,15
effort,faker,53.0,Directed,other,League of Legends,Korean,Korean,False,15
effort,gumayusi,52.0,Directed,other,League of Legends,Korean,Korean,False,15
effort,hanssama,25.0,Directed,other,League of Legends,Korean,English,True,4
effort,lol_woolf,72.0,Directed,other,League of Legends,Korean,Korean,False,15
effort,riotgames,31.0,Directed,other,League of Legends,Korean,English,False,15
effort,t1_cuzz,73.0,Directed,other,League of Legends,Korean,Korean,False,15
effort,t1_ellim,75.0,Directed,other,League of Legends,Korean,Korean,False,15
effort,t1_keria,30.0,Directed,other,League of Legends,Korean,Korean,False,15
