Source,Target,Weight
yvonnie,0hJoe,2
yvonnie,5uppp,3
yvonnie,AZRA,2
yvonnie,Academy,2
yvonnie,AlexiaRaye,2
yvonnie,AnthonyZ,2
yvonnie,AriaSaki,3
yvonnie,Ash_on_LoL,3
yvonnie,Atrioc,2
yvonnie,Axie_University,1
yvonnie,Aydan,2
yvonnie,BBBonez,1
yvonnie,BLOU,2
yvonnie,BaboAbe,3
yvonnie,Becca,3
yvonnie,Belnaru,1
yvonnie,Blaustoise,3
yvonnie,BlockchainGameGang,1
yvonnie,BobRoss,2
yvonnie,BobbyPoffGaming,2
yvonnie,Brofain,3
yvonnie,BrookeAB,3
yvonnie,CONEY,2
yvonnie,CaMbCaMb,2
yvonnie,CalebDMTG,2
yvonnie,Calxonie,1
yvonnie,Calypsiel,2
yvonnie,CapcomFighters,2
yvonnie,CaptHokage,2
yvonnie,Celsun667,1
yvonnie,ChillboBagginz,2
yvonnie,ClassyMango08,1
yvonnie,ClericCast,1
yvonnie,CodeMiko,2
yvonnie,Corpse_Husband,1
yvonnie,CyYuVtuber,1
yvonnie,DANinahurry,2
yvonnie,Didderdd,1
yvonnie,DisguisedToast,1
yvonnie,DizzyKitten,2
yvonnie,Dub5teP,2
yvonnie,E3,3
yvonnie,ESL_CSGO,2
yvonnie,FOXtheGODFATHER,1
yvonnie,FlowAscending,2
yvonnie,GeorgeNotFound,2
yvonnie,Granny,2
yvonnie,GratisStatus,1
yvonnie,GreatMoonAroma,2
yvonnie,HappyChimeNoises,2
yvonnie,HasanAbi,3
yvonnie,Himedae,2
yvonnie,Hungrybox,1
yvonnie,HutchMF,2
yvonnie,IllyTheKitty,2
yvonnie,ItsSaedee,1
yvonnie,ItsyeboiPDT,1
yvonnie,JIEchii,1
yvonnie,JaboodyShow,2
yvonnie,JaggerXTC,1
yvonnie,JaidenAnimations,2
yvonnie,Jay_Q,1
yvonnie,JcFrosti,1
yvonnie,JimmyFallon,1
yvonnie,JoblessGarrett,1
yvonnie,Joe_Bartolozzi,2
yvonnie,Jogiiee,1
yvonnie,Judd,2
yvonnie,KarasMai,2
yvonnie,Keycult,2
yvonnie,KingOfTheDot,2
yvonnie,Krewella,2
yvonnie,Kyedae,3
yvonnie,LANCERLOT78,1
yvonnie,LCS,2
yvonnie,LEC,2
yvonnie,Leffen,1
yvonnie,Liz_XP,1
yvonnie,Lolathon,2
yvonnie,LuckyChamu,2
yvonnie,Lythes,2
yvonnie,Maeviis,2
yvonnie,MajorDrumKill,1
yvonnie,Manco1,2
yvonnie,Masayoshi,2
yvonnie,Ming,2
yvonnie,MissBaffy,2
yvonnie,MistaahAgz,1
yvonnie,Mizkif,2
yvonnie,Moechiu,1
yvonnie,MonsterHunter,2
yvonnie,MsGryphi,2
yvonnie,Natsumiii,3
yvonnie,Nintenluv,1
yvonnie,OfficialBoaster,2
yvonnie,OfflineTV,3
yvonnie,OnlyMXC,1
yvonnie,Otzdarva,2
yvonnie,PPGL_VCTPH,2
yvonnie,Plushys,2
yvonnie,Quackity,2
yvonnie,QuarterJade,3
yvonnie,Queeneggie,2
yvonnie,RachelAndJun,1
yvonnie,Ramee,2
yvonnie,RanbooLive,1
yvonnie,Ranger,2
yvonnie,Ray__C,3
yvonnie,RedBull,2
yvonnie,Riot Games,1
yvonnie,Rubius,2
yvonnie,SaltyBet,2
yvonnie,Samsora,1
yvonnie,Sanchovies,2
yvonnie,SandraSkins,2
yvonnie,Sandra_Owl,1
yvonnie,ShahZaM,3
yvonnie,Shiki,2
yvonnie,Shiphtur,3
yvonnie,SmallAnt,1
yvonnie,Subroza,1
yvonnie,SuperEvan,2
yvonnie,Sweet_Anita,3
yvonnie,Sydeon,3
yvonnie,Sykkuno,3
yvonnie,TenZ,3
yvonnie,TheDooo_,2
yvonnie,ThePeachyKat,1
yvonnie,TheStockGuy,2
yvonnie,Thebausffs,2
yvonnie,ThisIsNotGeorgeNotFound,1
yvonnie,TinaKitten,3
yvonnie,Trickywi,2
yvonnie,Tubbo,1
yvonnie,TubboLIVE,1
yvonnie,VALORANT,3
yvonnie,VTuberOkuno,1
yvonnie,Victachuii,1
yvonnie,Whippy,2
yvonnie,WilburSoot,1
yvonnie,Xbox,2
yvonnie,Xlice,2
yvonnie,Yozu,2
yvonnie,Yuggie_TV,2
yvonnie,ZenLight,2
yvonnie,Zigily,1
yvonnie,aboedmxtest,1
yvonnie,aceu,2
yvonnie,adorable_kittens,2
yvonnie,alanamisako,2
yvonnie,antonychenn,2
yvonnie,auditydraws,2
yvonnie,baba_streams,1
yvonnie,bellapii,1
yvonnie,beomhanfm,1
yvonnie,boxbox,3
yvonnie,btssmash,2
yvonnie,cdewx,2
yvonnie,cinnabubblez,1
yvonnie,coffeewithbee,2
yvonnie,dapr,1
yvonnie,dota2ti,2
yvonnie,dreamwastaken,1
yvonnie,dyems,1
yvonnie,eaJParkOfficial,1
yvonnie,edvazian,1
yvonnie,emilyywang,3
yvonnie,fanfan,2
yvonnie,finalfantasyxiv,2
yvonnie,foxplushy,2
yvonnie,fuslie,3
yvonnie,gamergirl,2
yvonnie,gianbakaboi,1
yvonnie,girl_dm_,2
yvonnie,hJune,2
yvonnie,highkeyhateme,2
yvonnie,ibai,2
yvonnie,iiTzTimmy,2
yvonnie,imjasmine,2
yvonnie,imls,2
yvonnie,ironmouse,2
yvonnie,jaleena,1
yvonnie,jdotkdot,2
yvonnie,jeddaaa,1
yvonnie,joeytuan,2
yvonnie,joshseki,2
yvonnie,k3soju,2
yvonnie,kaisamaa,1
yvonnie,karlnetwork,3
yvonnie,kkatamina,3
yvonnie,koreanstudytime,1
yvonnie,l0rfie,1
yvonnie,larray,1
yvonnie,liljuju,2
yvonnie,lilsimsie,2
yvonnie,lilypichu,3
yvonnie,lol_nemesis,2
yvonnie,ludwig,3
yvonnie,lust_kami,1
yvonnie,maggiekarp_,2
yvonnie,mang0,1
yvonnie,marss_ne,1
yvonnie,maxtaylorlifts,1
yvonnie,michaelclifford,2
yvonnie,michaelreeves,3
yvonnie,miniminter,2
yvonnie,moistcr1tikal,3
yvonnie,mrbeast6000,1
yvonnie,murda_inky,2
yvonnie,naashie,1
yvonnie,needyhenry,1
yvonnie,nyanners,3
yvonnie,omg_mom_play_lol,1
yvonnie,peterparkTV,3
yvonnie,ploo,2
yvonnie,pokimane,3
yvonnie,purinnari,1
yvonnie,ranboobutnot,1
yvonnie,robinswole,1
yvonnie,rossdraws,2
yvonnie,sQueen,2
yvonnie,samsumart,1
yvonnie,sapnapalt,2
yvonnie,scootsthecat,1
yvonnie,seoldam99,2
yvonnie,shadowfloie,1
yvonnie,shroud,3
yvonnie,sleepiijuice,1
yvonnie,sleepy,2
yvonnie,starsmitten,2
yvonnie,stefanthegood,1
yvonnie,stunt,2
yvonnie,susu_jpg,2
yvonnie,symon_redd,1
yvonnie,tarik,2
yvonnie,teamrumble,2
yvonnie,teedeelol,1
yvonnie,theambear,1
yvonnie,theonlydetoxofficial,1
yvonnie,to2eggy,1
yvonnie,tommyinnit,1
yvonnie,tommyinnitalt,1
yvonnie,tweekssb,1
yvonnie,uguubear,2
yvonnie,umNogi,1
yvonnie,valorantesports2,2
yvonnie,vinnie,3
yvonnie,waterlynn,2
yvonnie,xChocoBars,3
yvonnie,xQcOW,3
yvonnie,yukicide,1
yvonnie,zackrawrr,1
yvonnie,멜론__,1
yvonnie,요룰레히,1
yvonnie,타임이_,1
0hJoe,1flamboyant_ninja,2
0hJoe,1nimbus1,1
0hJoe,3yteer,1
0hJoe,5ciubs,1
0hJoe,AOC,1
