,streamer,Links_To,count
0,TenZ,Kyedae,1
1,TenZ,PunkRevolutionNow,1
2,TenZ,RanbooLive,1
3,Kyedae,JOLLZTV,2
4,Kyedae,HendiWoe,1
5,Kyedae,frost_ch,1
6,Kyedae,ZeusyAF,1
7,Kyedae,SnowwKE,1
8,JOLLZTV,HasanAbi,2
9,JOLLZTV,tarik,1
10,JOLLZTV,Governor,1
11,JOLLZTV,shroud,1
12,JOLLZTV,yvonnie,1
13,HasanAbi,Ninja,2
14,HasanAbi,KingOfLightningGaming,1
15,HasanAbi,Nmplol,1
16,HasanAbi,Mizkif,1
17,HasanAbi,appyTurk,1
18,Ninja,pokimane,2
19,Ninja,Rekinss,1
20,Ninja,toxicgamer3419,1
21,KingOfLightningGaming,Captainflowers22,2
22,KingOfLightningGaming,TSM_Bjergsen,1
23,KingOfLightningGaming,Saruei,1
24,KingOfLightningGaming,bragodace,1
25,KingOfLightningGaming,Rustage_,1
26,Nmplol,HasanAbi,2
27,Nmplol,Mizkif,1
28,Nmplol,richwcampbell,1
29,Nmplol,moistcr1tikal,1
30,Nmplol,부리짱,1
31,Mizkif,ThisIsNotGeorgeNotFound,2
32,Mizkif,Slimecicle,1
33,Mizkif,vincereR6,1
34,Mizkif,ShawkR6,1
35,Mizkif,Nmplol,1
36,appyTurk,koil,2
37,appyTurk,omie,1
38,appyTurk,Trainwreckstv,1
39,appyTurk,maxtaylorlifts,1
40,appyTurk,ellegrenn,1
41,Ming,buddha,2
42,Ming,erobb221,1
43,Ming,Zoil,1
44,Ming,omie,1
45,tarik,VALORANT,2
46,tarik,SamSaberi,1
47,tarik,ONSCREEN,1
48,tarik,mw1gg,1
49,tarik,chjna4q,1
50,VALORANT,Patricius_z,2
51,VALORANT,X10_zeuszeuszeus,1
52,VALORANT,Kyedae,1
53,VALORANT,ShahZaM,1
54,VALORANT,gamergirl,1
55,SamSaberi,Rozhiin,2
56,SamSaberi,heisenbergofficial,1
57,SamSaberi,Arvx,1
58,SamSaberi,FarshadSilent,1
59,SamSaberi,FarhadXRay,1
60,ONSCREEN,pokimane,2
61,ONSCREEN,valorantesports2,1
62,mw1gg,Nivera,2
63,mw1gg,PSG,1
64,mw1gg,rite2ace,1
65,chjna4q,FolagorLives,2
66,chjna4q,bstrdd,1
67,chjna4q,Kronopia,1
68,chjna4q,rinneberlinatta,1
69,chjna4q,KRUesports,1
70,3gerardpique,IlloJuan,2
71,3gerardpique,lentejaaaas,1
