Source,Target,Weight
Alanzoka,Gaules,8.0
Alanzoka,NOBRU,12.0
Alanzoka,PlayHard,8.0
Alanzoka,alanzoka,80.0
Alanzoka,loud_coringa,14.0
Alanzoka,loud_thurzin,8.0
Gaules,PlayHard,4.0
Gaules,Smzinho,5.0
Gaules,YoDa,4.0
Gaules,adolfz,4.0
Gaules,alanzoka,4.0
Gaules,bakzera,6.0
Gaules,casimito,8.0
Gaules,fnxLNTC,5.0
Gaules,loud_coringa,5.0
PlayHard,Meikodboy_,6.0
PlayHard,NOBRU,10.0
PlayHard,alanzoka,5.0
PlayHard,bakzera,13.0
PlayHard,loud_babi,4.0
PlayHard,loud_coringa,23.0
Meikodboy_,Gaules,4.0
Meikodboy_,PlayHard,10.0
Meikodboy_,alanzoka,4.0
Meikodboy_,bakzera,4.0
Meikodboy_,casimito,6.0
Meikodboy_,loud_coringa,22.0
Meikodboy_,loud_thurzin,4.0
alanzoka,Gaules,4.0
alanzoka,NOBRU,6.0
alanzoka,PlayHard,4.0
alanzoka,loud_coringa,7.0
alanzoka,loud_thurzin,4.0
bakzera,NOBRU,18.0
bakzera,PlayHard,13.0
bakzera,loud_bradoock,5.0
bakzera,loud_coringa,17.0
bakzera,loud_thurzin,10.0
casimito,CBLOL,5.0
casimito,Gaules,7.0
casimito,Smzinho,4.0
casimito,alanzoka,6.0
casimito,jukes,4.0
loud_coringa,NOBRU,7.0
loud_coringa,PlayHard,7.0
loud_coringa,bakzera,9.0
loud_thurzin,NOBRU,12.0
loud_thurzin,PlayHard,12.0
loud_thurzin,bakzera,27.0
loud_thurzin,loud_babi,10.0
loud_thurzin,loud_bradoock,8.0
loud_thurzin,loud_coringa,24.0
loud_thurzin,loud_voltan,9.0
NOBRU,PlayHard,8.0
NOBRU,bakzera,24.0
NOBRU,loud_babi,4.0
NOBRU,loud_bradoock,9.0
NOBRU,loud_coringa,18.0
NOBRU,loud_thurzin,8.0
NOBRU,loud_voltan,4.0
loud_babi,LOUD_Mii,5.0
loud_babi,NOBRU,12.0
loud_babi,PlayHard,13.0
loud_babi,alanzoka,4.0
loud_babi,bakzera,16.0
loud_babi,loud_bradoock,4.0
loud_babi,loud_coringa,28.0
loud_babi,loud_crusher,4.0
loud_babi,loud_mob,6.0
loud_babi,loud_thaiga,5.0
loud_babi,loud_thurzin,16.0
loud_babi,loud_voltan,25.0
loud_bradoock,LOUD_Mii,5.0
loud_bradoock,NOBRU,7.0
loud_bradoock,PlayHard,8.0
loud_bradoock,adolfz,4.0
loud_bradoock,bakzera,24.0
loud_bradoock,loud_babi,7.0
loud_bradoock,loud_coringa,20.0
loud_bradoock,loud_mob,5.0
loud_bradoock,loud_thaiga,4.0
loud_bradoock,loud_thurzin,13.0
loud_bradoock,loud_voltan,11.0
loud_voltan,LOUD_Mii,5.0
loud_voltan,NOBRU,10.0
loud_voltan,PlayHard,17.0
loud_voltan,alanzoka,5.0
loud_voltan,bakzera,18.0
loud_voltan,loud_babi,13.0
loud_voltan,loud_bradoock,6.0
loud_voltan,loud_coringa,25.0
loud_voltan,loud_mob,4.0
loud_voltan,loud_thaiga,5.0
loud_voltan,loud_thurzin,9.0
Smzinho,Gaules,8.0
Smzinho,alanzoka,4.0
Smzinho,casimito,7.0
Smzinho,loud_coringa,6.0
YoDa,Baiano,4.0
YoDa,CBLOL,4.0
YoDa,Cellbit,5.0
YoDa,ESL_CSGO,4.0
YoDa,Felps,4.0
YoDa,Gabi,4.0
YoDa,Gaules,11.0
YoDa,Rakin,7.0
YoDa,alanzoka,9.0
YoDa,calango,4.0
YoDa,casimito,9.0
Baiano,CBLOL,12.0
Baiano,Gaules,5.0
Baiano,YoDa,8.0
Baiano,alanzoka,5.0
Baiano,brtt,9.0
Baiano,casimito,5.0
Baiano,jukes,11.0
Baiano,pijack11,8.0
Baiano,pimpimenta,4.0
Baiano,yeTz,6.0
CBLOL,Baiano,6.0
CBLOL,FlowPodcast,4.0
CBLOL,Gaules,10.0
CBLOL,YoDa,4.0
CBLOL,alanzoka,4.0
CBLOL,jovirone,4.0
CBLOL,jukes,10.0
CBLOL,pijack11,5.0
brtt,Baiano,9.0
brtt,CBLOL,7.0
brtt,Faker,4.0
brtt,Gaules,7.0
brtt,Rakin,5.0
brtt,YoDa,12.0
brtt,casimito,9.0
brtt,jean_mago,6.0
brtt,jovirone,5.0
brtt,jukes,11.0
brtt,liminhag0d,4.0
brtt,pijack11,7.0
jukes,CBLOL,9.0
jukes,YoDa,17.0
jukes,alanzoka,9.0
jukes,casimito,4.0
jukes,loud_coringa,4.0
jukes,pimpimenta,4.0
pijack11,Baiano,4.0
pijack11,CBLOL,9.0
pijack11,FlowPodcast,4.0
pijack11,YoDa,11.0
pijack11,alanzoka,4.0
pijack11,casimito,6.0
pijack11,jean_mago,7.0
pijack11,jukes,7.0
pimpimenta,FlowPodcast,4.0
pimpimenta,Rakin,5.0
pimpimenta,YoDa,21.0
pimpimenta,alanzoka,7.0
pimpimenta,casimito,5.0
pimpimenta,gratis150ml,5.0
pimpimenta,jean_mago,6.0
pimpimenta,jukes,10.0
pimpimenta,pijack11,10.0
pimpimenta,yeTz,4.0
yeTz,Baiano,10.0
yeTz,CBLOL,10.0
yeTz,FlowPodcast,4.0
yeTz,Gaules,7.0
yeTz,Rakin,4.0
yeTz,YoDa,12.0
yeTz,alanzoka,4.0
yeTz,brtt,10.0
yeTz,casimito,10.0
yeTz,gratis150ml,5.0
yeTz,jean_mago,5.0
yeTz,jukes,5.0
yeTz,pijack11,7.0
Cellbit,Felps,5.0
Cellbit,G0ularte,7.0
Cellbit,Gabi,11.0
Cellbit,Gaules,4.0
Cellbit,alanzoka,14.0
Cellbit,calango,8.0
Cellbit,lubatv,6.0
Felps,Cellbit,13.0
Felps,DavyJones,4.0
Felps,G0ularte,14.0
Felps,Gabi,12.0
Felps,Rakin,10.0
Felps,YoDa,4.0
Felps,alanzoka,15.0
Felps,calango,19.0
Felps,casimito,5.0
Felps,forever,4.0
Felps,jukes,4.0
Felps,lubatv,11.0
Felps,mount,6.0
G0ularte,Cellbit,5.0
G0ularte,Felps,4.0
G0ularte,Gabi,7.0
G0ularte,alanzoka,12.0
G0ularte,calango,6.0
G0ularte,mount,5.0
Gabi,Cellbit,14.0
Gabi,Felps,8.0
Gabi,G0ularte,9.0
Gabi,Guaxinim,5.0
Gabi,Rakin,4.0
Gabi,alanzoka,12.0
Gabi,calango,7.0
Gabi,jukes,4.0
Gabi,loud_coringa,5.0
Gabi,lubatv,11.0
calango,Cellbit,14.0
calango,DavyJones,4.0
calango,Dilera,4.0
calango,Felps,10.0
calango,G0ularte,7.0
calango,Gabi,6.0
calango,Gaules,8.0
calango,NOBRU,4.0
calango,Rakin,4.0
calango,alanzoka,21.0
calango,casimito,6.0
calango,cidcidoso,4.0
calango,loud_coringa,6.0
calango,lubatv,5.0
lubatv,Cellbit,11.0
lubatv,Felps,4.0
lubatv,G0ularte,6.0
lubatv,Gabi,5.0
lubatv,alanzoka,12.0
lubatv,calango,6.0
lubatv,mount,5.0
ESL_CSGO,PGL,6.0
ESL_CSGO,VALORANT,7.0
ESL_CSGO,s1mple,4.0
ESL_CSGO,xQcOW,4.0
PGL,ESL_CSGO,7.0
PGL,Gaules,6.0
VALORANT,Hiko,4.0
VALORANT,Kyedae,6.0
VALORANT,Ninja,4.0
VALORANT,PGL,4.0
VALORANT,ShahZaM,12.0
VALORANT,Subroza,5.0
VALORANT,TenZ,15.0
VALORANT,aceu,5.0
VALORANT,iiTzTimmy,4.0
VALORANT,pokimane,5.0
VALORANT,shroud,8.0
VALORANT,sinatraa,7.0
VALORANT,tarik,6.0
s1mple,ESL_CSGO,4.0
s1mple,PGL,4.0
xQcOW,Kyedae,4.0
xQcOW,buddha,4.0
xQcOW,ludwig,5.0
xQcOW,moistcr1tikal,4.0
xQcOW,pokimane,4.0
xQcOW,shroud,4.0
Rakin,Cellbit,8.0
Rakin,Felps,4.0
Rakin,Gabi,9.0
Rakin,Gaules,5.0
Rakin,PlayHard,4.0
Rakin,VALORANT,4.0
Rakin,alanzoka,8.0
Rakin,calango,9.0
Rakin,cidcidoso,4.0
Rakin,mount,5.0
Rakin,paulanobre,6.0
cidcidoso,FlowPodcast,7.0
cidcidoso,Gaules,12.0
cidcidoso,PlayHard,4.0
cidcidoso,Smzinho,7.0
cidcidoso,YoDa,5.0
cidcidoso,alanzoka,7.0
cidcidoso,casimito,17.0
cidcidoso,loud_coringa,5.0
mount,Cellbit,19.0
mount,Felps,10.0
mount,G0ularte,6.0
mount,Gabi,12.0
mount,Gaules,4.0
mount,Guaxinim,8.0
mount,NOBRU,4.0
mount,Rakin,4.0
mount,alanzoka,23.0
mount,calango,26.0
mount,loud_coringa,7.0
mount,lubatv,11.0
mount,tioorochitwitch,4.0
paulanobre,Cellbit,5.0
paulanobre,Felps,4.0
paulanobre,Gabi,4.0
paulanobre,Gaules,11.0
paulanobre,PlayHard,5.0
paulanobre,Rakin,5.0
paulanobre,alanzoka,9.0
paulanobre,bakzera,4.0
paulanobre,loud_coringa,7.0
adolfz,Gaules,8.0
adolfz,alanzoka,6.0
adolfz,bakzera,4.0
adolfz,casimito,12.0
adolfz,loud_coringa,4.0
fnxLNTC,ESL_CSGO,7.0
fnxLNTC,Gaules,12.0
fnxLNTC,alanzoka,5.0
fnxLNTC,casimito,7.0
fnxLNTC,deercheerup,8.0
fnxLNTC,fer,7.0
fnxLNTC,gafallen,5.0
fnxLNTC,liminhag0d,9.0
fnxLNTC,neymarjr,4.0
fnxLNTC,s1mple,7.0
deercheerup,Gaules,21.0
deercheerup,Smzinho,6.0
deercheerup,YoDa,4.0
deercheerup,alanzoka,7.0
deercheerup,bakzera,4.0
deercheerup,calango,4.0
deercheerup,casimito,10.0
deercheerup,cidcidoso,4.0
deercheerup,fer,5.0
deercheerup,fnxLNTC,4.0
deercheerup,liminhag0d,15.0
deercheerup,loud_coringa,6.0
fer,Amouranth,4.0
fer,ESL_CSGO,4.0
fer,Gaules,17.0
fer,alanzoka,4.0
fer,casimito,8.0
fer,fnxLNTC,14.0
fer,gafallen,13.0
fer,liminhag0d,5.0
fer,ziGueira,4.0
liminhag0d,FlowPodcast,4.0
liminhag0d,Gaules,19.0
liminhag0d,Rakin,6.0
liminhag0d,alanzoka,8.0
liminhag0d,casimito,6.0
liminhag0d,cidcidoso,6.0
liminhag0d,deercheerup,10.0
gafallen,Gaules,21.0
gafallen,alanzoka,6.0
gafallen,casimito,4.0
gafallen,deercheerup,4.0
gafallen,fnxLNTC,4.0
gafallen,liminhag0d,7.0
neymarjr,Amouranth,4.0
neymarjr,NOBRU,5.0
neymarjr,SLAKUN10,5.0
neymarjr,ibai,5.0
neymarjr,loud_coringa,5.0
SLAKUN10,ElMariana,5.0
SLAKUN10,LITkillah,5.0
SLAKUN10,TheGrefg,4.0
SLAKUN10,auronplay,12.0
SLAKUN10,coscu,4.0
SLAKUN10,ibai,20.0
SLAKUN10,juansguarnizo,7.0
SLAKUN10,neymarjr,4.0
ibai,AriGameplays,12.0
ibai,ElMariana,7.0
ibai,Rubius,9.0
ibai,aXoZer,4.0
ibai,auronplay,28.0
ibai,biyin_,8.0
ibai,juansguarnizo,17.0
ibai,xXxTheFocuSxXx,5.0
