Source,Target,Weight
Amouranth,Leynainu,8.0
Leynainu,Amouranth,14.0
Leynainu,auronplay,4.0
auronplay,AriGameplays,12.0
auronplay,ElMariana,4.0
auronplay,ElSpreen,5.0
auronplay,LakshartNia,4.0
auronplay,NimuVT,5.0
auronplay,Perxitaa,5.0
auronplay,RobertoCein,4.0
auronplay,Robleis,6.0
auronplay,Rubius,12.0
auronplay,aXoZer,4.0
auronplay,ibai,7.0
auronplay,juansguarnizo,15.0
AriGameplays,BarcaGamer,4.0
AriGameplays,ElMariana,11.0
AriGameplays,ElSpreen,5.0
AriGameplays,Jelty,6.0
AriGameplays,LakshartNia,4.0
AriGameplays,NimuVT,15.0
AriGameplays,PipePunk,4.0
AriGameplays,RobertoCein,7.0
AriGameplays,Robleis,13.0
AriGameplays,Rubius,8.0
AriGameplays,Staryuuki,5.0
AriGameplays,TheGrefg,5.0
AriGameplays,aXoZer,4.0
AriGameplays,auronplay,10.0
AriGameplays,biyin_,4.0
AriGameplays,elded,4.0
AriGameplays,ibai,6.0
AriGameplays,juansguarnizo,25.0
AriGameplays,natalan,5.0
BarcaGamer,AriGameplays,21.0
BarcaGamer,ElMariana,12.0
BarcaGamer,ElSpreen,4.0
BarcaGamer,MissaSinfonia,12.0
BarcaGamer,NimuVT,13.0
BarcaGamer,RobertoCein,14.0
BarcaGamer,Robleis,12.0
BarcaGamer,Rubius,9.0
BarcaGamer,TheGrefg,4.0
BarcaGamer,auronplay,12.0
BarcaGamer,elded,17.0
BarcaGamer,ibai,4.0
BarcaGamer,juansguarnizo,27.0
BarcaGamer,komanche,6.0
BarcaGamer,natalan,7.0
ElMariana,AriGameplays,10.0
ElMariana,NimuVT,8.0
ElMariana,Robleis,5.0
ElMariana,Rubius,5.0
ElMariana,auronplay,7.0
ElMariana,biyin_,6.0
ElMariana,elded,4.0
ElMariana,juansguarnizo,9.0
ElSpreen,Carreraaa,4.0
ElSpreen,MissaSinfonia,5.0
ElSpreen,NimuVT,4.0
ElSpreen,Robleis,12.0
ElSpreen,Rubius,6.0
ElSpreen,auronplay,6.0
ElSpreen,juansguarnizo,8.0
Jelty,Alliege,7.0
Jelty,AriGameplays,6.0
Jelty,Fortnite,6.0
Jelty,LakshartNia,5.0
Jelty,NimuVT,6.0
Jelty,Robleis,6.0
Jelty,TheGrefg,9.0
Jelty,auronplay,6.0
Jelty,ibai,7.0
Jelty,juansguarnizo,10.0
Jelty,sujagg,8.0
LakshartNia,8cho,7.0
LakshartNia,AgenteMaxo,4.0
LakshartNia,AriGameplays,20.0
LakshartNia,Carola,7.0
LakshartNia,ElMariana,8.0
LakshartNia,Gemita,4.0
LakshartNia,IamCristinini,5.0
LakshartNia,Jelty,4.0
LakshartNia,Luzu,6.0
LakshartNia,NimuVT,11.0
LakshartNia,RobertoCein,4.0
LakshartNia,Robleis,8.0
LakshartNia,Rubius,13.0
LakshartNia,TheGrefg,5.0
LakshartNia,aXoZer,8.0
LakshartNia,aroyitt,4.0
LakshartNia,auronplay,10.0
LakshartNia,biyin_,7.0
LakshartNia,elded,4.0
LakshartNia,ibai,9.0
LakshartNia,juansguarnizo,22.0
LakshartNia,karchez,5.0
LakshartNia,komanche,6.0
LakshartNia,xXxTheFocuSxXx,12.0
NimuVT,AriGameplays,10.0
NimuVT,ElMariana,8.0
NimuVT,ElSpreen,6.0
NimuVT,Jelty,5.0
NimuVT,LakshartNia,5.0
NimuVT,MissaSinfonia,4.0
NimuVT,RobertoCein,6.0
NimuVT,Robleis,12.0
NimuVT,Rubius,11.0
NimuVT,TheGrefg,4.0
NimuVT,aXoZer,5.0
NimuVT,aroyitt,5.0
NimuVT,auronplay,8.0
NimuVT,biyin_,6.0
NimuVT,elded,5.0
NimuVT,ibai,8.0
NimuVT,juansguarnizo,13.0
NimuVT,xXxTheFocuSxXx,5.0
PipePunk,8cho,4.0
PipePunk,AriGameplays,21.0
PipePunk,BarcaGamer,9.0
PipePunk,ElMariana,16.0
PipePunk,JaggerPrincesa,4.0
PipePunk,Jelty,7.0
PipePunk,LakshartNia,8.0
PipePunk,MissaSinfonia,5.0
PipePunk,Nephtunie,5.0
PipePunk,NimuVT,21.0
PipePunk,QuackityToo,4.0
PipePunk,RobertoCein,10.0
PipePunk,Robleis,4.0
PipePunk,Rubius,8.0
PipePunk,Staryuuki,4.0
PipePunk,aXoZer,4.0
PipePunk,auronplay,7.0
PipePunk,biyin_,5.0
PipePunk,elded,16.0
PipePunk,juansguarnizo,22.0
PipePunk,komanche,10.0
PipePunk,natalan,9.0
PipePunk,xCry,4.0
PipePunk,xXxTheFocuSxXx,4.0
RobertoCein,Alliege,5.0
RobertoCein,AriGameplays,15.0
RobertoCein,BarcaGamer,8.0
RobertoCein,ElMariana,12.0
RobertoCein,Fortnite,7.0
RobertoCein,Jelty,6.0
RobertoCein,LakshartNia,11.0
RobertoCein,MissaSinfonia,6.0
RobertoCein,NimuVT,15.0
RobertoCein,PipePunk,5.0
RobertoCein,Robleis,8.0
RobertoCein,Rubius,7.0
RobertoCein,TheGrefg,4.0
RobertoCein,aXoZer,5.0
RobertoCein,auronplay,10.0
RobertoCein,elded,11.0
RobertoCein,juansguarnizo,24.0
RobertoCein,komanche,7.0
RobertoCein,natalan,8.0
Robleis,8cho,5.0
Robleis,AriGameplays,5.0
Robleis,BENIJU03,7.0
Robleis,ElMariana,8.0
Robleis,ElSpreen,12.0
Robleis,LakshartNia,8.0
Robleis,NimuVT,7.0
Robleis,Rubius,8.0
Robleis,TheGrefg,6.0
Robleis,auronplay,8.0
Robleis,biyin_,4.0
Robleis,elded,4.0
Robleis,ibai,8.0
Robleis,juansguarnizo,16.0
Robleis,xXxTheFocuSxXx,8.0
Rubius,AriGameplays,11.0
Rubius,ElMariana,5.0
Rubius,ElSpreen,6.0
Rubius,NimuVT,4.0
Rubius,Robleis,11.0
Rubius,aXoZer,6.0
Rubius,auronplay,22.0
Rubius,biyin_,5.0
Rubius,ibai,4.0
Rubius,juansguarnizo,9.0
Staryuuki,8cho,4.0
Staryuuki,NimuVT,7.0
Staryuuki,Robleis,5.0
Staryuuki,Rubius,6.0
Staryuuki,TheGrefg,6.0
Staryuuki,auronplay,7.0
Staryuuki,ibai,6.0
Staryuuki,juansguarnizo,13.0
TheGrefg,Alliege,4.0
TheGrefg,AriGameplays,5.0
TheGrefg,BENIJU03,7.0
TheGrefg,Fortnite,5.0
TheGrefg,Jelty,10.0
TheGrefg,NimuVT,6.0
TheGrefg,Robleis,15.0
TheGrefg,SypherPK,4.0
TheGrefg,ibai,4.0
TheGrefg,juansguarnizo,9.0
aXoZer,8cho,5.0
aXoZer,AriGameplays,13.0
aXoZer,ElMariana,7.0
aXoZer,ElSpreen,6.0
aXoZer,LakshartNia,6.0
aXoZer,Luzu,5.0
aXoZer,NimuVT,5.0
aXoZer,Robleis,11.0
aXoZer,Rubius,10.0
aXoZer,TheGrefg,6.0
aXoZer,auronplay,29.0
aXoZer,biyin_,14.0
aXoZer,ibai,9.0
aXoZer,juansguarnizo,19.0
aXoZer,karchez,6.0
aXoZer,xXxTheFocuSxXx,9.0
biyin_,AriGameplays,17.0
biyin_,ElMariana,5.0
biyin_,ElSpreen,5.0
biyin_,LakshartNia,6.0
biyin_,NimuVT,8.0
biyin_,Perxitaa,5.0
biyin_,Robleis,12.0
biyin_,Rubius,7.0
biyin_,TheGrefg,4.0
biyin_,aXoZer,20.0
biyin_,auronplay,33.0
biyin_,ibai,8.0
biyin_,juansguarnizo,20.0
biyin_,karchez,6.0
biyin_,xXxTheFocuSxXx,13.0
elded,Alexby11,4.0
elded,AriGameplays,19.0
elded,BarcaGamer,10.0
elded,ElMariana,13.0
elded,Jelty,4.0
elded,MissaSinfonia,6.0
elded,NimuVT,18.0
elded,PipePunk,4.0
elded,RobertoCein,9.0
elded,Robleis,7.0
elded,Rubius,10.0
elded,TheGrefg,6.0
elded,aXoZer,4.0
elded,auronplay,9.0
elded,ibai,9.0
elded,juansguarnizo,22.0
elded,xXxTheFocuSxXx,4.0
ibai,AriGameplays,6.0
ibai,ElMariana,6.0
ibai,ElSpreen,4.0
ibai,LakshartNia,6.0
ibai,NimuVT,4.0
ibai,Robleis,8.0
ibai,Rubius,10.0
ibai,TheGrefg,5.0
ibai,auronplay,15.0
ibai,biyin_,4.0
ibai,juansguarnizo,10.0
juansguarnizo,AriGameplays,13.0
juansguarnizo,ElMariana,6.0
juansguarnizo,ElSpreen,5.0
juansguarnizo,Jelty,4.0
juansguarnizo,LakshartNia,4.0
juansguarnizo,NimuVT,7.0
juansguarnizo,Robleis,7.0
juansguarnizo,Rubius,4.0
juansguarnizo,TheGrefg,8.0
juansguarnizo,auronplay,12.0
juansguarnizo,ibai,4.0
natalan,AriGameplays,15.0
natalan,BENIJU03,4.0
natalan,BarcaGamer,5.0
natalan,ElMariana,11.0
natalan,ElSpreen,8.0
natalan,Jelty,5.0
natalan,MissaSinfonia,5.0
natalan,NimuVT,21.0
natalan,PipePunk,5.0
natalan,RobertoCein,7.0
natalan,Robleis,7.0
natalan,Rubius,13.0
natalan,TheGrefg,5.0
natalan,auronplay,10.0
natalan,elded,10.0
natalan,ibai,4.0
natalan,juansguarnizo,19.0
natalan,komanche,4.0
Perxitaa,8cho,6.0
Perxitaa,Alexby11,4.0
Perxitaa,AriGameplays,13.0
Perxitaa,Carola,4.0
Perxitaa,IamCristinini,4.0
Perxitaa,LakshartNia,5.0
Perxitaa,Luzu,7.0
Perxitaa,MissaSinfonia,6.0
Perxitaa,Reborn_Live,10.0
Perxitaa,Robleis,9.0
Perxitaa,Rubius,9.0
Perxitaa,TheGrefg,7.0
Perxitaa,aXoZer,13.0
Perxitaa,auronplay,29.0
Perxitaa,biyin_,15.0
Perxitaa,ibai,9.0
Perxitaa,juansguarnizo,18.0
Perxitaa,karchez,7.0
Perxitaa,komanche,4.0
Perxitaa,xXxTheFocuSxXx,10.0
8cho,Alexby11,4.0
8cho,AriGameplays,11.0
8cho,Carola,12.0
8cho,D3stri,4.0
8cho,ElMariana,7.0
8cho,LakshartNia,13.0
8cho,Luzu,10.0
8cho,MissaSinfonia,4.0
8cho,NimuVT,8.0
8cho,Perxitaa,5.0
8cho,Reborn_Live,5.0
8cho,Robleis,7.0
8cho,Rubius,10.0
8cho,TheGrefg,5.0
8cho,aXoZer,13.0
8cho,auronplay,22.0
8cho,biyin_,17.0
8cho,ibai,13.0
8cho,juansguarnizo,24.0
8cho,karchez,11.0
8cho,xXxTheFocuSxXx,15.0
Alexby11,8cho,7.0
Alexby11,AriGameplays,9.0
Alexby11,ElMariana,7.0
Alexby11,ElSpreen,5.0
Alexby11,LakshartNia,6.0
Alexby11,Luzu,10.0
Alexby11,MissaSinfonia,4.0
Alexby11,NimuVT,7.0
Alexby11,Robleis,5.0
Alexby11,Rubius,19.0
Alexby11,TheGrefg,8.0
Alexby11,VEGETTA777,5.0
Alexby11,Willyrex,6.0
Alexby11,aXoZer,5.0
Alexby11,aroyitt,15.0
Alexby11,auronplay,17.0
Alexby11,biyin_,7.0
Alexby11,elded,4.0
Alexby11,ibai,12.0
Alexby11,juansguarnizo,13.0
Alexby11,komanche,5.0
Alexby11,xXxTheFocuSxXx,7.0
Carola,8cho,12.0
Carola,AriGameplays,8.0
Carola,BarcaGamer,6.0
Carola,ElMariana,10.0
Carola,ElSpreen,7.0
Carola,Gemita,4.0
Carola,IamCristinini,9.0
Carola,LakshartNia,9.0
Carola,Luzu,7.0
Carola,MenosTrece,6.0
Carola,NimuVT,9.0
Carola,Perxitaa,4.0
Carola,Reborn_Live,5.0
Carola,RobertoCein,8.0
Carola,Robleis,7.0
Carola,Rubius,16.0
Carola,TheGrefg,5.0
Carola,aXoZer,20.0
Carola,auronplay,20.0
Carola,biyin_,11.0
Carola,ibai,18.0
Carola,juansguarnizo,13.0
Carola,karchez,7.0
Carola,komanche,5.0
Carola,xXxTheFocuSxXx,20.0
IamCristinini,8cho,4.0
IamCristinini,AriGameplays,10.0
IamCristinini,Carola,6.0
IamCristinini,ElSpreen,4.0
IamCristinini,Gemita,7.0
IamCristinini,LakshartNia,7.0
IamCristinini,Luzu,5.0
IamCristinini,Mayichi,9.0
IamCristinini,MissaSinfonia,4.0
IamCristinini,NimuVT,5.0
IamCristinini,Perxitaa,4.0
IamCristinini,Reborn_Live,5.0
IamCristinini,Robleis,12.0
IamCristinini,Rubius,9.0
IamCristinini,Staryuuki,4.0
IamCristinini,TheGrefg,13.0
IamCristinini,aXoZer,8.0
IamCristinini,auronplay,16.0
IamCristinini,biyin_,16.0
IamCristinini,ibai,15.0
IamCristinini,juansguarnizo,14.0
IamCristinini,karchez,5.0
IamCristinini,komanche,4.0
IamCristinini,xXxTheFocuSxXx,8.0
Luzu,8cho,6.0
Luzu,Alexby11,10.0
Luzu,AriGameplays,14.0
Luzu,Carola,4.0
Luzu,ElMariana,9.0
Luzu,ElSpreen,4.0
Luzu,Fernanfloo,4.0
Luzu,IamCristinini,5.0
Luzu,LakshartNia,6.0
Luzu,Mayichi,5.0
Luzu,MissaSinfonia,4.0
Luzu,NimuVT,7.0
Luzu,Perxitaa,6.0
Luzu,RobertoCein,7.0
Luzu,Robleis,6.0
Luzu,Rubius,16.0
Luzu,Staryuuki,5.0
Luzu,TheGrefg,8.0
Luzu,VEGETTA777,6.0
Luzu,aXoZer,12.0
Luzu,aroyitt,5.0
Luzu,auronplay,21.0
Luzu,biyin_,11.0
Luzu,elded,4.0
Luzu,ibai,11.0
Luzu,juansguarnizo,19.0
Luzu,karchez,7.0
Luzu,komanche,5.0
Luzu,xXxTheFocuSxXx,10.0
MissaSinfonia,AriGameplays,13.0
MissaSinfonia,BarcaGamer,4.0
MissaSinfonia,ElMariana,5.0
MissaSinfonia,NimuVT,7.0
MissaSinfonia,Robleis,6.0
MissaSinfonia,auronplay,8.0
MissaSinfonia,juansguarnizo,12.0
Reborn_Live,8cho,8.0
Reborn_Live,Alexby11,4.0
Reborn_Live,AriGameplays,12.0
Reborn_Live,Carola,6.0
Reborn_Live,ElMariana,9.0
Reborn_Live,IamCristinini,5.0
Reborn_Live,LakshartNia,6.0
Reborn_Live,Luzu,6.0
Reborn_Live,NimuVT,7.0
Reborn_Live,Perxitaa,9.0
Reborn_Live,Robleis,10.0
Reborn_Live,Rubius,21.0
Reborn_Live,aXoZer,16.0
Reborn_Live,auronplay,28.0
Reborn_Live,biyin_,18.0
Reborn_Live,ibai,10.0
Reborn_Live,juansguarnizo,19.0
Reborn_Live,karchez,11.0
Reborn_Live,komanche,4.0
Reborn_Live,xXxTheFocuSxXx,13.0
karchez,8cho,12.0
karchez,Alexby11,4.0
karchez,AriGameplays,18.0
karchez,Carola,11.0
karchez,ElMariana,6.0
karchez,IamCristinini,5.0
karchez,JaggerPrincesa,4.0
karchez,LakshartNia,16.0
karchez,Luzu,13.0
karchez,Mayichi,5.0
karchez,NimuVT,6.0
karchez,Perxitaa,6.0
karchez,Robleis,10.0
karchez,Rubius,10.0
karchez,TheGrefg,10.0
karchez,aXoZer,26.0
karchez,auronplay,24.0
karchez,biyin_,16.0
karchez,elded,4.0
karchez,ibai,11.0
karchez,juansguarnizo,27.0
karchez,komanche,7.0
karchez,xXxTheFocuSxXx,21.0
komanche,8cho,5.0
komanche,AriGameplays,28.0
komanche,BarcaGamer,6.0
komanche,Carola,5.0
komanche,D3stri,6.0
komanche,ElMariana,13.0
komanche,ElSpreen,4.0
komanche,IamCristinini,6.0
komanche,JaggerPrincesa,5.0
komanche,Jelty,4.0
komanche,LakshartNia,16.0
komanche,MissaSinfonia,7.0
komanche,NimuVT,9.0
komanche,PipePunk,6.0
komanche,Reborn_Live,6.0
komanche,RobertoCein,4.0
komanche,Robleis,10.0
komanche,Rubius,12.0
komanche,SoyPan,4.0
komanche,TheGrefg,12.0
komanche,aXoZer,8.0
komanche,auronplay,10.0
komanche,biyin_,9.0
komanche,elded,12.0
komanche,ibai,10.0
komanche,juansguarnizo,24.0
komanche,karchez,4.0
komanche,natalan,6.0
komanche,xXxTheFocuSxXx,13.0
xXxTheFocuSxXx,8cho,6.0
xXxTheFocuSxXx,AriGameplays,13.0
xXxTheFocuSxXx,D3stri,4.0
xXxTheFocuSxXx,ElMariana,6.0
xXxTheFocuSxXx,IamCristinini,5.0
xXxTheFocuSxXx,LakshartNia,6.0
xXxTheFocuSxXx,Luzu,5.0
xXxTheFocuSxXx,Mayichi,4.0
xXxTheFocuSxXx,NimuVT,7.0
xXxTheFocuSxXx,Robleis,14.0
xXxTheFocuSxXx,Rubius,11.0
xXxTheFocuSxXx,TheGrefg,8.0
xXxTheFocuSxXx,aXoZer,17.0
xXxTheFocuSxXx,auronplay,27.0
xXxTheFocuSxXx,biyin_,18.0
xXxTheFocuSxXx,ibai,15.0
xXxTheFocuSxXx,juansguarnizo,22.0
xXxTheFocuSxXx,karchez,6.0
