Source,Target,Weight
Kaydop,Doigby,20.0
Kaydop,Domingo,8.0
Kaydop,Gotaga,22.0
Kaydop,Inoxtag,16.0
Kaydop,JLAmaru,14.0
Kaydop,JLTomy,14.0
Kaydop,Kamet0,14.0
Kaydop,LeBouseuh,18.0
Kaydop,Mushway,8.0
Kaydop,RocketLeague,8.0
Kaydop,Sardoche,8.0
Kaydop,TheKAIRI78,12.0
Kaydop,ZeratoR,10.0
Kaydop,aminematue,14.0
Doigby,AntoineDaniel,5.0
Doigby,Domingo,7.0
Doigby,Gotaga,21.0
Doigby,Inoxtag,16.0
Doigby,JLAmaru,6.0
Doigby,JLTomy,9.0
Doigby,Kamet0,11.0
Doigby,Laink,4.0
Doigby,LeBouseuh,5.0
Doigby,Locklear,13.0
Doigby,Maghla,7.0
Doigby,Ponce,6.0
Doigby,RebeuDeter,7.0
Doigby,Sardoche,8.0
Doigby,Squeezie,11.0
Doigby,Terracid,5.0
Doigby,WankilStudio,6.0
Doigby,ZeratoR,9.0
Doigby,aminematue,6.0
Doigby,fr_zod,5.0
Doigby,michou_twitch,6.0
Doigby,mistermv,6.0
AntoineDaniel,AlphaCast,4.0
AntoineDaniel,Doigby,5.0
AntoineDaniel,Domingo,9.0
AntoineDaniel,Gotaga,12.0
AntoineDaniel,Inoxtag,7.0
AntoineDaniel,JLAmaru,8.0
AntoineDaniel,JLTomy,5.0
AntoineDaniel,Joueur_du_Grenier,6.0
AntoineDaniel,Kamet0,5.0
AntoineDaniel,Locklear,4.0
AntoineDaniel,Maghla,6.0
AntoineDaniel,MoMaN,7.0
AntoineDaniel,Ponce,9.0
AntoineDaniel,RebeuDeter,5.0
AntoineDaniel,Sardoche,12.0
AntoineDaniel,Squeezie,11.0
AntoineDaniel,WankilStudio,7.0
AntoineDaniel,ZeratoR,14.0
AntoineDaniel,aminematue,5.0
AntoineDaniel,fr_zod,6.0
AntoineDaniel,mistermv,12.0
AlphaCast,AntoineDaniel,14.0
AlphaCast,Doigby,8.0
AlphaCast,Domingo,11.0
AlphaCast,Etoiles,6.0
AlphaCast,Gotaga,10.0
AlphaCast,Inoxtag,5.0
AlphaCast,JLAmaru,4.0
AlphaCast,JLTomy,4.0
AlphaCast,JeelTV,6.0
AlphaCast,Jirayalecochon,5.0
AlphaCast,Joueur_du_Grenier,11.0
AlphaCast,Kamet0,6.0
AlphaCast,Locklear,7.0
AlphaCast,Maghla,6.0
AlphaCast,MoMaN,5.0
AlphaCast,Ponce,9.0
AlphaCast,RebeuDeter,4.0
AlphaCast,Sardoche,10.0
AlphaCast,ZeratoR,17.0
AlphaCast,aminematue,7.0
AlphaCast,fr_zod,6.0
AlphaCast,lestream,5.0
AlphaCast,michou_twitch,4.0
AlphaCast,mistermv,14.0
Domingo,AntoineDaniel,7.0
Domingo,Doigby,7.0
Domingo,Gotaga,11.0
Domingo,Inoxtag,12.0
Domingo,JLAmaru,7.0
Domingo,Jirayalecochon,6.0
Domingo,Joueur_du_Grenier,6.0
Domingo,Kamet0,8.0
Domingo,LeBouseuh,4.0
Domingo,Locklear,7.0
Domingo,Maghla,4.0
Domingo,Ponce,5.0
Domingo,Sardoche,7.0
Domingo,Squeezie,13.0
Domingo,Terracid,4.0
Domingo,WankilStudio,5.0
Domingo,ZeratoR,15.0
Domingo,fr_zod,4.0
Domingo,michou_twitch,5.0
Domingo,mistermv,7.0
Etoiles,AlphaCast,4.0
Etoiles,AntoineDaniel,20.0
Etoiles,Doigby,6.0
Etoiles,Domingo,9.0
Etoiles,Gotaga,7.0
Etoiles,JeelTV,4.0
Etoiles,Joueur_du_Grenier,13.0
Etoiles,Locklear,5.0
Etoiles,Maghla,9.0
Etoiles,MoMaN,5.0
Etoiles,Ponce,22.0
Etoiles,Sardoche,5.0
Etoiles,Squeezie,5.0
Etoiles,WankilStudio,6.0
Etoiles,ZeratoR,21.0
Etoiles,mistermv,13.0
Gotaga,Doigby,5.0
Gotaga,Domingo,4.0
Gotaga,Inoxtag,7.0
Gotaga,Kamet0,4.0
Gotaga,LeBouseuh,6.0
Gotaga,Locklear,7.0
Gotaga,Ponce,4.0
Gotaga,Sardoche,5.0
Gotaga,Squeezie,6.0
Gotaga,fr_zod,7.0
