Source,Target,Weight
Rubius,AriGameplays,18.0
Rubius,NimuVT,18.0
Rubius,Robleis,14.0
Rubius,TheGrefg,8.0
Rubius,aXoZer,8.0
Rubius,auronplay,36.0
Rubius,biyin_,12.0
Rubius,elded,10.0
Rubius,ibai,12.0
Rubius,juansguarnizo,26.0
Rubius,xXxTheFocuSxXx,8.0
AriGameplays,BarcaGamer,4.0
AriGameplays,ElMariana,11.0
AriGameplays,MissaSinfonia,6.0
AriGameplays,NimuVT,4.0
AriGameplays,RobertoCein,4.0
AriGameplays,Robleis,7.0
AriGameplays,Rubius,7.0
AriGameplays,auronplay,15.0
AriGameplays,elded,5.0
AriGameplays,ibai,5.0
AriGameplays,juansguarnizo,30.0
BarcaGamer,AriGameplays,21.0
BarcaGamer,ElMariana,14.0
BarcaGamer,ElSpreen,4.0
BarcaGamer,IamCristinini,4.0
BarcaGamer,MissaSinfonia,8.0
BarcaGamer,NimuVT,16.0
BarcaGamer,PipePunk,7.0
BarcaGamer,RobertoCein,13.0
BarcaGamer,Robleis,7.0
BarcaGamer,Rubius,14.0
BarcaGamer,Staryuuki,6.0
BarcaGamer,auronplay,18.0
BarcaGamer,elded,19.0
BarcaGamer,juansguarnizo,31.0
ElMariana,AriGameplays,9.0
ElMariana,MissaSinfonia,4.0
ElMariana,Robleis,4.0
ElMariana,Rubius,5.0
ElMariana,auronplay,6.0
ElMariana,elded,6.0
ElMariana,juansguarnizo,13.0
MissaSinfonia,AriGameplays,9.0
MissaSinfonia,BarcaGamer,5.0
MissaSinfonia,ElMariana,12.0
MissaSinfonia,ElSpreen,6.0
MissaSinfonia,NimuVT,8.0
MissaSinfonia,Rubius,7.0
MissaSinfonia,TheGrefg,5.0
MissaSinfonia,auronplay,10.0
MissaSinfonia,elded,5.0
MissaSinfonia,juansguarnizo,13.0
Robleis,AriGameplays,9.0
Robleis,Carreraaa,4.0
Robleis,ElMariana,6.0
Robleis,ElSpreen,8.0
Robleis,Fernanfloo,4.0
Robleis,NimuVT,6.0
Robleis,Rubius,11.0
Robleis,TheGrefg,6.0
Robleis,auronplay,9.0
Robleis,elded,6.0
Robleis,juansguarnizo,12.0
auronplay,AriGameplays,8.0
auronplay,ElMariana,4.0
auronplay,ElSpreen,6.0
auronplay,Rubius,8.0
auronplay,biyin_,4.0
auronplay,ibai,8.0
auronplay,juansguarnizo,15.0
elded,Alliege,4.0
elded,Amouranth,6.0
elded,AriGameplays,8.0
elded,ElMariana,12.0
elded,ElSpreen,4.0
elded,Jelty,6.0
elded,NimuVT,10.0
elded,PipePunk,7.0
elded,RobertoCein,4.0
elded,Robleis,6.0
elded,Rubius,6.0
elded,Staryuuki,4.0
elded,Tocata,4.0
elded,auronplay,7.0
elded,juansguarnizo,9.0
juansguarnizo,AriGameplays,21.0
juansguarnizo,ElMariana,10.0
juansguarnizo,NimuVT,7.0
juansguarnizo,Robleis,6.0
juansguarnizo,Rubius,9.0
juansguarnizo,TheGrefg,4.0
juansguarnizo,auronplay,21.0
juansguarnizo,elded,5.0
juansguarnizo,ibai,6.0
ElSpreen,Carreraaa,8.0
ElSpreen,NimuVT,8.0
ElSpreen,Robleis,10.0
ElSpreen,TheGrefg,4.0
ElSpreen,auronplay,5.0
ElSpreen,juansguarnizo,8.0
Carreraaa,AriGameplays,5.0
Carreraaa,ElSpreen,17.0
Carreraaa,LITkillah,4.0
Carreraaa,LakshartNia,6.0
Carreraaa,Luzu,5.0
Carreraaa,NimuVT,8.0
Carreraaa,Oscurlod,5.0
Carreraaa,Robleis,16.0
Carreraaa,Rubius,5.0
Carreraaa,TheGrefg,4.0
Carreraaa,Tuli_acosta,5.0
Carreraaa,aXoZer,6.0
Carreraaa,auronplay,10.0
Carreraaa,ibai,6.0
Carreraaa,juansguarnizo,9.0
Carreraaa,komanche,6.0
Carreraaa,xXxTheFocuSxXx,6.0
Carreraaa,zainita,4.0
NimuVT,AriGameplays,5.0
NimuVT,ElMariana,10.0
NimuVT,ElSpreen,5.0
NimuVT,Gemita,5.0
NimuVT,Robleis,7.0
NimuVT,Rubius,9.0
NimuVT,Staryuuki,5.0
NimuVT,auronplay,7.0
NimuVT,elded,4.0
NimuVT,juansguarnizo,12.0
TheGrefg,Alliege,4.0
TheGrefg,AriGameplays,8.0
TheGrefg,ElMariana,9.0
TheGrefg,ElSpreen,5.0
TheGrefg,Fortnite,5.0
TheGrefg,Jelty,12.0
TheGrefg,MissaSinfonia,5.0
TheGrefg,NimuVT,7.0
TheGrefg,Robleis,14.0
TheGrefg,Rubius,12.0
TheGrefg,Staryuuki,5.0
TheGrefg,auronplay,9.0
TheGrefg,biyin_,4.0
TheGrefg,elded,8.0
TheGrefg,ibai,7.0
TheGrefg,juansguarnizo,9.0
IamCristinini,AriGameplays,13.0
IamCristinini,Carola,6.0
IamCristinini,ElMariana,8.0
IamCristinini,ElSpreen,4.0
IamCristinini,LakshartNia,11.0
IamCristinini,Luzu,6.0
IamCristinini,Mayichi,7.0
IamCristinini,MissaSinfonia,8.0
IamCristinini,NimuVT,8.0
IamCristinini,Robleis,14.0
IamCristinini,Rubius,18.0
IamCristinini,Staryuuki,7.0
IamCristinini,TheGrefg,13.0
IamCristinini,aXoZer,6.0
IamCristinini,auronplay,22.0
IamCristinini,biyin_,10.0
IamCristinini,elded,4.0
IamCristinini,ibai,13.0
IamCristinini,juansguarnizo,15.0
IamCristinini,xXxTheFocuSxXx,5.0
Carola,8cho,10.0
Carola,AriGameplays,14.0
Carola,BENIJU03,4.0
Carola,CooLifeGame,4.0
Carola,D3stri,4.0
Carola,ElMariana,10.0
Carola,ElSpreen,4.0
Carola,IamCristinini,9.0
Carola,LakshartNia,22.0
Carola,Luzu,7.0
Carola,Mayichi,8.0
Carola,MissaSinfonia,8.0
Carola,NimuVT,6.0
Carola,Perxitaa,4.0
Carola,Robleis,7.0
Carola,Rubius,18.0
Carola,SLAKUN10,4.0
Carola,TheGrefg,5.0
Carola,VioletaG,5.0
Carola,Zeling,5.0
Carola,aXoZer,18.0
Carola,auronplay,19.0
Carola,biyin_,14.0
Carola,elded,5.0
Carola,ibai,20.0
Carola,juansguarnizo,21.0
Carola,komanche,7.0
Carola,mrstiventc,4.0
Carola,xXxTheFocuSxXx,18.0
LakshartNia,8cho,11.0
LakshartNia,Alexby11,7.0
LakshartNia,AriGameplays,14.0
LakshartNia,Carola,5.0
LakshartNia,ElMariana,15.0
LakshartNia,IamCristinini,5.0
LakshartNia,Luzu,7.0
LakshartNia,MissaSinfonia,4.0
LakshartNia,NimuVT,10.0
LakshartNia,RobertoCein,4.0
LakshartNia,Rubius,14.0
LakshartNia,TheGrefg,4.0
LakshartNia,aXoZer,11.0
LakshartNia,aroyitt,6.0
LakshartNia,auronplay,21.0
LakshartNia,biyin_,13.0
LakshartNia,elded,6.0
LakshartNia,ibai,15.0
LakshartNia,juansguarnizo,16.0
LakshartNia,komanche,6.0
LakshartNia,xXxTheFocuSxXx,12.0
Luzu,8cho,10.0
Luzu,AriGameplays,14.0
Luzu,ElMariana,8.0
Luzu,FarfadoxVEVO,4.0
Luzu,LakshartNia,6.0
Luzu,NimuVT,7.0
Luzu,Reborn_Live,5.0
Luzu,RobertoCein,6.0
Luzu,Robleis,9.0
Luzu,Rubius,21.0
Luzu,Staryuuki,4.0
Luzu,TheGrefg,8.0
Luzu,aXoZer,12.0
Luzu,auronplay,23.0
Luzu,biyin_,15.0
Luzu,ibai,18.0
Luzu,juansguarnizo,17.0
Luzu,karchez,7.0
Luzu,komanche,5.0
Luzu,xXxTheFocuSxXx,12.0
Mayichi,Alexby11,4.0
Mayichi,Amouranth,4.0
Mayichi,AriGameplays,16.0
Mayichi,BENIJU03,4.0
Mayichi,BarcaGamer,4.0
Mayichi,Carola,9.0
Mayichi,ElMariana,5.0
Mayichi,IamCristinini,14.0
Mayichi,LakshartNia,16.0
Mayichi,Luzu,6.0
Mayichi,NimuVT,9.0
Mayichi,PipePunk,4.0
Mayichi,Robleis,11.0
Mayichi,Rubius,12.0
Mayichi,Staryuuki,7.0
Mayichi,TheGrefg,12.0
Mayichi,aXoZer,5.0
Mayichi,auronplay,12.0
Mayichi,biyin_,6.0
Mayichi,elded,6.0
Mayichi,ibai,14.0
Mayichi,juansguarnizo,13.0
Mayichi,karchez,5.0
Mayichi,komanche,6.0
Mayichi,xXxTheFocuSxXx,11.0
Staryuuki,8cho,4.0
Staryuuki,Amouranth,5.0
Staryuuki,AriGameplays,12.0
Staryuuki,ElMariana,5.0
Staryuuki,ElSpreen,5.0
Staryuuki,Jelty,4.0
Staryuuki,Luzu,5.0
Staryuuki,Mayichi,4.0
Staryuuki,NimuVT,11.0
Staryuuki,Robleis,8.0
Staryuuki,Rubius,6.0
Staryuuki,TheGrefg,10.0
Staryuuki,aXoZer,5.0
Staryuuki,auronplay,15.0
Staryuuki,biyin_,6.0
Staryuuki,elded,9.0
Staryuuki,ibai,7.0
Staryuuki,juansguarnizo,13.0
aXoZer,8cho,5.0
aXoZer,AriGameplays,17.0
