Source,Target,Weight
TenZ,AsunaWEEB,194.0
TenZ,Hiko,260.0
TenZ,Kyedae,1502.0
TenZ,SicK_cs,142.0
TenZ,VALORANT,1302.0
TenZ,dapr,22.0
TenZ,shroud,541.0
AsunaWEEB,ArrumieShannon,21.0
AsunaWEEB,AverageJonas,554.0
AsunaWEEB,Grimm,198.0
AsunaWEEB,Hiko,1065.0
AsunaWEEB,Kyedae,958.0
AsunaWEEB,ShahZaM,1459.0
AsunaWEEB,SicK_cs,1207.0
AsunaWEEB,Subroza,973.0
AsunaWEEB,TenZ,1524.0
AsunaWEEB,VALORANT,1179.0
AsunaWEEB,WARDELL,773.0
AsunaWEEB,dapr,634.0
AsunaWEEB,kennyS,161.0
AsunaWEEB,s0mcs,481.0
AsunaWEEB,shroud,556.0
AsunaWEEB,sinatraa,1262.0
AsunaWEEB,tarik,480.0
AsunaWEEB,zombs,325.0
AverageJonas,AsunaWEEB,559.0
AverageJonas,Hiko,683.0
AverageJonas,Kyedae,678.0
AverageJonas,ShahZaM,870.0
AverageJonas,SicK_cs,537.0
AverageJonas,Subroza,475.0
AverageJonas,TenZ,1063.0
AverageJonas,VALORANT,705.0
AverageJonas,WARDELL,431.0
AverageJonas,shroud,429.0
AverageJonas,sinatraa,692.0
AverageJonas,xQcOW,83.0
AsunaWEEB,JASONR,37.0
AsunaWEEB,aceu,87.0
AsunaWEEB,ethos,160.0
AsunaWEEB,nAts,400.0
AsunaWEEB,pokimane,169.0
AsunaWEEB,valorant_jpn,5.0
AverageJonas,dapr,247.0
AverageJonas,ethos,144.0
AverageJonas,nAts,105.0
AverageJonas,ploo,39.0
Hiko,AsunaWEEB,967.0
Hiko,AverageJonas,567.0
Hiko,Kyedae,783.0
Hiko,ShahZaM,1287.0
Hiko,SicK_cs,766.0
Hiko,Subroza,744.0
Hiko,TenZ,1499.0
Hiko,VALORANT,1144.0
Hiko,WARDELL,600.0
Hiko,aceu,79.0
Hiko,pokimane,201.0
Hiko,shroud,687.0
Hiko,sinatraa,1011.0
Hiko,xQcOW,173.0
JASONR,AsunaWEEB,51.0
JASONR,AverageJonas,19.0
JASONR,ESL_CSGO,6.0
JASONR,Hiko,33.0
JASONR,Kyedae,35.0
JASONR,OfficialBoaster,16.0
JASONR,Redami,6.0
JASONR,ShahZaM,63.0
JASONR,SicK_cs,74.0
JASONR,Subroza,76.0
JASONR,VALORANT,66.0
JASONR,WARDELL,81.0
JASONR,kennyS,30.0
JASONR,nAts,45.0
JASONR,nosyy,21.0
JASONR,patiphan,5.0
JASONR,s0mcs,56.0
JASONR,seoldam99,5.0
JASONR,shanks_ttv,28.0
JASONR,shroud,34.0
JASONR,sinatraa,74.0
JASONR,tarik,72.0
JASONR,zombs,50.0
Kyedae,ShahZaM,1699.0
Kyedae,Sykkuno,90.0
Kyedae,TenZ,2759.0
Kyedae,VALORANT,1020.0
Kyedae,pokimane,762.0
Kyedae,shroud,350.0
ShahZaM,AsunaWEEB,379.0
ShahZaM,Hiko,412.0
ShahZaM,Kyedae,1328.0
ShahZaM,SicK_cs,334.0
ShahZaM,TenZ,2549.0
ShahZaM,VALORANT,1483.0
ShahZaM,dapr,216.0
ShahZaM,shroud,725.0
ShahZaM,sinatraa,1660.0
ShahZaM,zombs,127.0
Subroza,AsunaWEEB,827.0
Subroza,Hiko,662.0
Subroza,Kyedae,940.0
Subroza,ShahZaM,1665.0
Subroza,SicK_cs,830.0
Subroza,TenZ,1405.0
Subroza,VALORANT,1067.0
Subroza,WARDELL,892.0
Subroza,nAts,165.0
Subroza,s0mcs,485.0
Subroza,s1mple,18.0
Subroza,shroud,637.0
Subroza,sinatraa,1212.0
Subroza,tarik,519.0
Subroza,xQcOW,141.0
TenZ,ShahZaM,1455.0
TenZ,sinatraa,749.0
VALORANT,Hiko,88.0
WARDELL,AsunaWEEB,858.0
WARDELL,AverageJonas,439.0
WARDELL,Hiko,643.0
WARDELL,Kyedae,792.0
WARDELL,ScreaM,90.0
WARDELL,ShahZaM,1576.0
WARDELL,SicK_cs,907.0
WARDELL,Subroza,1002.0
WARDELL,TenZ,1413.0
WARDELL,VALORANT,991.0
WARDELL,dapr,421.0
WARDELL,ethos,128.0
WARDELL,s0mcs,416.0
WARDELL,shroud,619.0
WARDELL,sinatraa,1094.0
WARDELL,tarik,482.0
WARDELL,valorantesports2,18.0
aceu,TSM_ImperialHal,99.0
aceu,iiTzTimmy,195.0
kennyS,AsunaWEEB,49.0
kennyS,ESL_CSGO,111.0
kennyS,GeT_RiGhT,5.0
kennyS,dapr,18.0
kennyS,nAts,39.0
kennyS,s1mple,145.0
pokimane,EsfandTV,33.0
