Source,Target,Weight
TenZ,Kyedae,36.0
TenZ,Myth,6.0
TenZ,OfflineTV,6.0
TenZ,ScreaM,6.0
TenZ,ShahZaM,56.0
TenZ,VALORANT,30.0
TenZ,lilypichu,10.0
TenZ,loltyler1,10.0
TenZ,michaelreeves,8.0
TenZ,pokimane,15.0
TenZ,sinatraa,30.0
TenZ,xQcOW,10.0
Kyedae,AdinRoss,7.0
Kyedae,Mizkif,4.0
Kyedae,NICKMERCS,4.0
Kyedae,Riot Games,3.0
Kyedae,ShahZaM,22.0
Kyedae,Sykkuno,3.0
Kyedae,TenZ,45.0
Kyedae,VALORANT,10.0
Kyedae,dreamwastaken,4.0
Kyedae,karlnetwork,3.0
Kyedae,lilypichu,11.0
Kyedae,miniminter,3.0
Kyedae,pokimane,14.0
Kyedae,shroud,11.0
Kyedae,sinatraa,8.0
Kyedae,tommyinnit,6.0
Kyedae,xQcOW,3.0
Kyedae,yourragegaming,4.0
AdinRoss,BLOU,3.0
AdinRoss,Clix,3.0
AdinRoss,FanumTV,3.0
AdinRoss,Flight23white,3.0
AdinRoss,ImKaiCenat,10.0
AdinRoss,Im_Dontai,3.0
AdinRoss,RDCgaming,3.0
AdinRoss,TeeGrizzley,4.0
AdinRoss,xQcOW,3.0
AdinRoss,yourragegaming,4.0
Mizkif,Asmongold,3.0
Mizkif,Atrioc,3.0
Mizkif,Corpse_Husband,4.0
Mizkif,DisguisedToast,4.0
Mizkif,Emiru,3.0
Mizkif,EsfandTV,5.0
Mizkif,HasanAbi,3.0
Mizkif,JustaMinx,5.0
Mizkif,Kyedae,3.0
Mizkif,ShahZaM,3.0
Mizkif,SmallAnt,3.0
Mizkif,TenZ,3.0
Mizkif,lilypichu,4.0
Mizkif,ludwig,7.0
Mizkif,moistcr1tikal,7.0
Mizkif,pokimane,5.0
Mizkif,richwcampbell,4.0
Mizkif,shroud,6.0
Mizkif,sodapoppin,5.0
Mizkif,xQcOW,7.0
NICKMERCS,Faide,3.0
NICKMERCS,LuluLuvely,3.0
NICKMERCS,ShivFPS,6.0
NICKMERCS,Swagg,3.0
NICKMERCS,TSM_ImperialHal,6.0
NICKMERCS,TimTheTatman,7.0
NICKMERCS,Trainwreckstv,3.0
NICKMERCS,aceu,3.0
NICKMERCS,iiTzTimmy,4.0
NICKMERCS,playapex,4.0
NICKMERCS,shroud,5.0
ShahZaM,Governor,3.0
ShahZaM,Keeoh,3.0
ShahZaM,Kyedae,14.0
ShahZaM,Subroza,7.0
ShahZaM,TenZ,23.0
ShahZaM,VALORANT,23.0
ShahZaM,WARDELL,6.0
ShahZaM,aceu,6.0
ShahZaM,blackelespanolito,3.0
ShahZaM,keznit1,4.0
ShahZaM,nAts,6.0
ShahZaM,ploo,4.0
ShahZaM,pokimane,8.0
ShahZaM,shroud,11.0
ShahZaM,sinatraa,17.0
TenZ,AdinRoss,3.0
TenZ,Philza,3.0
TenZ,WARDELL,3.0
TenZ,moistcr1tikal,5.0
TenZ,shroud,16.0
VALORANT,AsunaWEEB,4.0
VALORANT,ESL_CSGO,3.0
VALORANT,Hiko,4.0
VALORANT,Kyedae,5.0
VALORANT,Ninja,4.0
VALORANT,ShahZaM,13.0
VALORANT,SicK_cs,4.0
VALORANT,TBONE_FTW,3.0
VALORANT,TenZ,11.0
VALORANT,dapr,3.0
VALORANT,mw1gg,3.0
VALORANT,pokimane,5.0
VALORANT,shroud,8.0
VALORANT,sinatraa,7.0
VALORANT,tarik,4.0
VALORANT,tommyinnit,3.0
VALORANT,xQcOW,4.0
VALORANT,zombs,3.0
dreamwastaken,BadBoyHalo,5.0
dreamwastaken,CaptainPuffy,3.0
dreamwastaken,Fundy,3.0
dreamwastaken,GeorgeNotFound,27.0
dreamwastaken,JackManifoldTV,3.0
dreamwastaken,Nihachu,8.0
dreamwastaken,Philza,3.0
dreamwastaken,Punz,3.0
dreamwastaken,Quackity,13.0
dreamwastaken,QuackityToo,5.0
dreamwastaken,RanbooLive,13.0
dreamwastaken,Sapnap,12.0
dreamwastaken,ThisIsNotGeorgeNotFound,8.0
dreamwastaken,Tubbo,13.0
dreamwastaken,TubboLIVE,6.0
dreamwastaken,WilburSoot,10.0
dreamwastaken,karljacobs,11.0
dreamwastaken,karlnetwork,6.0
dreamwastaken,neimki,3.0
dreamwastaken,ranboobutnot,3.0
dreamwastaken,sapnapalt,4.0
dreamwastaken,tommyinnit,18.0
dreamwastaken,tommyinnitalt,6.0
lilypichu,AriaSaki,3.0
lilypichu,CodeMiko,3.0
lilypichu,DisguisedToast,6.0
lilypichu,GenshinImpactOfficial,3.0
lilypichu,GeorgeNotFound,3.0
lilypichu,Mizkif,6.0
lilypichu,OfflineTV,3.0
lilypichu,QuarterJade,3.0
lilypichu,Ray__C,3.0
lilypichu,Sykkuno,9.0
lilypichu,TenZ,4.0
lilypichu,Tfue,3.0
lilypichu,TinaKitten,5.0
lilypichu,dreamwastaken,5.0
lilypichu,fuslie,3.0
lilypichu,ironmouse,4.0
lilypichu,karljacobs,4.0
lilypichu,kkatamina,4.0
lilypichu,loltyler1,3.0
lilypichu,ludwig,7.0
lilypichu,michaelreeves,18.0
lilypichu,moistcr1tikal,8.0
lilypichu,pokimane,10.0
lilypichu,tommyinnit,5.0
lilypichu,xQcOW,5.0
pokimane,AdinRoss,3.0
pokimane,Corpse_Husband,4.0
pokimane,DanTDM,4.0
pokimane,GeorgeNotFound,4.0
pokimane,Kyedae,3.0
pokimane,NickEh30,3.0
pokimane,Nihachu,3.0
pokimane,QuarterJade,3.0
pokimane,RanbooLive,4.0
pokimane,ShahZaM,3.0
pokimane,Sykkuno,7.0
pokimane,TenZ,4.0
pokimane,VALORANT,4.0
pokimane,dreamwastaken,5.0
pokimane,ludwig,3.0
pokimane,shroud,5.0
pokimane,tommyinnit,4.0
pokimane,xQcOW,6.0
shroud,Amouranth,3.0
shroud,Asmongold,6.0
shroud,Fextralife,5.0
shroud,Mizkif,3.0
shroud,Tfue,3.0
shroud,TimTheTatman,4.0
shroud,loltyler1,4.0
shroud,xQcOW,4.0
sinatraa,39daph,3.0
sinatraa,AsunaWEEB,3.0
sinatraa,Governor,3.0
sinatraa,HITBOXKING,3.0
sinatraa,Hiko,6.0
sinatraa,Kyedae,5.0
sinatraa,Mixwell,3.0
sinatraa,Ninja,3.0
sinatraa,ShahZaM,28.0
sinatraa,SicK_cs,6.0
sinatraa,StarWraith,3.0
sinatraa,Subroza,9.0
sinatraa,TSM_ImperialHal,3.0
sinatraa,TenZ,16.0
sinatraa,VALORANT,21.0
sinatraa,WARDELL,6.0
sinatraa,dapr,6.0
sinatraa,iC0NiC_TV,3.0
sinatraa,johnolsen_,3.0
sinatraa,nAts,3.0
sinatraa,pokimane,3.0
sinatraa,s0mcs,3.0
sinatraa,shroud,4.0
sinatraa,tarik,4.0
sinatraa,valorantesports2,3.0
sinatraa,xQcOW,5.0
sinatraa,zombs,9.0
ShahZaM,AsunaWEEB,4.0
ShahZaM,Hiko,3.0
ShahZaM,NICKMERCS,3.0
ShahZaM,NRG_Hamlinz,3.0
ShahZaM,SicK_cs,4.0
ShahZaM,TSM_ImperialHal,3.0
ShahZaM,cNed,3.0
ShahZaM,dapr,4.0
ShahZaM,valorant_jpn,3.0
ShahZaM,xQcOW,3.0
Kyedae,39daph,4.0
Kyedae,DisguisedToast,4.0
Kyedae,SicK_cs,3.0
Kyedae,TSM_Daequan,3.0
