Source,Target,Weight
hanryang1125,aba4647,10.0
hanryang1125,handongsuk,16.0
hanryang1125,lck_korea,14.0
hanryang1125,obm1025,29.0
hanryang1125,saddummy,26.0
hanryang1125,woowakgood,22.0
hanryang1125,yapyap30,17.0
hanryang1125,zilioner,22.0
aba4647,dopa24,9.0
aba4647,faker,7.0
aba4647,lck_korea,18.0
aba4647,obm1025,22.0
aba4647,paka9999,17.0
aba4647,qcnb123,18.0
aba4647,tmxk319,48.0
dopa24,aba4647,18.0
dopa24,paka9999,28.0
dopa24,tmxk319,21.0
paka9999,aba4647,25.0
paka9999,dopa24,17.0
paka9999,obm1025,15.0
paka9999,tmxk319,21.0
obm1025,chodan_,22.0
obm1025,sunbaking,27.0
tmxk319,aba4647,27.0
tmxk319,faker,18.0
tmxk319,handongsuk,17.0
tmxk319,lck_korea,20.0
tmxk319,paka9999,43.0
faker,loltyler1,19.0
loltyler1,ludwig,31.0
loltyler1,myth,24.0
loltyler1,riotgames,77.0
ludwig,fuslie,21.0
ludwig,mizkif,29.0
ludwig,pokimane,30.0
ludwig,ranboolive,21.0
ludwig,xqcow,33.0
myth,nickmercs,28.0
myth,ninja,33.0
myth,shroud,44.0
myth,sykkuno,26.0
myth,tfue,23.0
myth,xqcow,28.0
lck_korea,faker,34.0
lck_korea,gumayusi,12.0
lck_korea,riotgames,64.0
lck_korea,t1_cuzz,10.0
lck_korea,t1_keria,7.0
lck_korea,t1_oner,33.0
lck_korea,t1_teddy,7.0
lck_korea,wildriftesports,10.0
gumayusi,canna,16.0
gumayusi,faker,32.0
gumayusi,hanssama,20.0
gumayusi,lck,37.0
gumayusi,lck_korea,35.0
gumayusi,lol_nemesis,27.0
gumayusi,loltyler1,16.0
gumayusi,rekkles,34.0
gumayusi,t1_keria,37.0
gumayusi,t1_oner,30.0
canna,faker,44.0
canna,gumayusi,55.0
canna,lck_korea,41.0
canna,riotgames,14.0
canna,t1_cuzz,29.0
canna,t1_ellim,12.0
canna,t1_keria,34.0
canna,t1_oner,53.0
canna,t1_teddy,42.0
canna,t1esports,37.0
hanssama,caedrel,14.0
hanssama,drututt,40.0
hanssama,dzukill,16.0
hanssama,faker,25.0
hanssama,jankos,30.0
hanssama,lol_nemesis,38.0
hanssama,otplol_,14.0
hanssama,ratirl,32.0
