Source,Target,Weight
fps_shaka,alelu,10.0
fps_shaka,jasper7se,10.0
fps_shaka,kato_junichi0817,26.0
fps_shaka,mokouliszt1,10.0
fps_shaka,spygea,26.0
fps_shaka,stylishnoob4,48.0
fps_shaka,yufuna,10.0
alelu,darumaisgod,6.0
alelu,dasoku_aniki,5.0
alelu,dtn_mukai,7.0
alelu,euriece,6.0
alelu,fps_shaka,11.0
alelu,genburten,6.0
alelu,k4sen,9.0
alelu,kato_junichi0817,13.0
alelu,killin9hit,7.0
alelu,nniru,12.0
alelu,ras_sama,5.0
alelu,rogue,6.0
alelu,shibuyahal,9.0
alelu,shivfps,8.0
alelu,spygea,9.0
alelu,stylishnoob4,10.0
alelu,sweetdreams,6.0
alelu,taxi2g,5.0
alelu,tsm_imperialhal,8.0
alelu,yamatonjp,5.0
alelu,yufuna,11.0
darumaisgod,fps_shaka,8.0
darumaisgod,k4sen,5.0
darumaisgod,kanae_2434,5.0
darumaisgod,nniru,9.0
darumaisgod,osamintinus3sei,5.0
darumaisgod,raderaderader,10.0
darumaisgod,shibuyahal,10.0
darumaisgod,spygea,6.0
darumaisgod,stylishnoob4,12.0
k4sen,dasoku_aniki,6.0
k4sen,euriece,14.0
k4sen,fps_shaka,24.0
k4sen,hanjoudesu,5.0
k4sen,kato_junichi0817,24.0
k4sen,killin9hit,7.0
k4sen,mokouliszt1,11.0
k4sen,nniru,5.0
k4sen,oniyadayo,8.0
k4sen,spygea,18.0
k4sen,stylishnoob4,23.0
k4sen,yamatonjp,5.0
dasoku_aniki,dmf_kyochan,11.0
dasoku_aniki,euriece,7.0
dasoku_aniki,fps_shaka,18.0
dasoku_aniki,hanjoudesu,8.0
dasoku_aniki,k4sen,10.0
dasoku_aniki,kato_junichi0817,28.0
dasoku_aniki,mokouliszt1,14.0
dasoku_aniki,oniyadayo,8.0
dasoku_aniki,spygea,11.0
dasoku_aniki,stylishnoob4,16.0
dasoku_aniki,yufuna,5.0
euriece,aceu,5.0
euriece,albralelie,7.0
euriece,daltoosh,6.0
euriece,diegosaurs,6.0
euriece,dropped,6.0
euriece,faide,6.0
euriece,fps_shaka,11.0
euriece,genburten,7.0
euriece,gent,7.0
euriece,hiswattson,5.0
euriece,iitztimmy,12.0
euriece,k4sen,5.0
euriece,kato_junichi0817,8.0
euriece,mande,7.0
euriece,nafengg,5.0
euriece,nniru,8.0
euriece,nokokopuffs,6.0
euriece,oniyadayo,5.0
euriece,playapex,7.0
euriece,rprx,6.0
euriece,shivfps,10.0
euriece,snip3down,11.0
euriece,spygea,7.0
euriece,stylishnoob4,5.0
euriece,tsm_imperialhal,14.0
euriece,tsm_reps,10.0
hanjoudesu,dasoku_aniki,14.0
hanjoudesu,dmf_kyochan,11.0
hanjoudesu,dtn_mukai,7.0
hanjoudesu,euriece,13.0
hanjoudesu,fps_shaka,21.0
hanjoudesu,k4sen,9.0
hanjoudesu,kato_junichi0817,33.0
hanjoudesu,mokouliszt1,16.0
hanjoudesu,oniyadayo,16.0
hanjoudesu,spygea,8.0
hanjoudesu,stylishnoob4,13.0
hanjoudesu,yufuna,8.0
kato_junichi0817,euriece,7.0
kato_junichi0817,fps_shaka,10.0
kato_junichi0817,mokouliszt1,7.0
kato_junichi0817,spygea,6.0
kato_junichi0817,stylishnoob4,9.0
killin9hit,dasoku_aniki,6.0
killin9hit,dmf_kyochan,9.0
killin9hit,euriece,14.0
killin9hit,fps_shaka,25.0
killin9hit,genburten,5.0
killin9hit,hanjoudesu,8.0
killin9hit,iam_xq,5.0
killin9hit,jasper7se,6.0
killin9hit,k4sen,23.0
killin9hit,kato_junichi0817,16.0
killin9hit,lazvell,6.0
killin9hit,mokouliszt1,7.0
killin9hit,nniru,7.0
killin9hit,oniyadayo,6.0
killin9hit,shibuyahal,7.0
killin9hit,shivfps,5.0
killin9hit,spygea,24.0
killin9hit,stylishnoob4,28.0
killin9hit,toto02033,6.0
killin9hit,yamatonjp,5.0
killin9hit,yufuna,7.0
mokouliszt1,dasoku_aniki,6.0
mokouliszt1,dmf_kyochan,6.0
mokouliszt1,dtn_mukai,8.0
mokouliszt1,euriece,11.0
mokouliszt1,fps_shaka,14.0
mokouliszt1,hanjoudesu,11.0
mokouliszt1,k4sen,19.0
mokouliszt1,kato_junichi0817,28.0
mokouliszt1,killin9hit,9.0
mokouliszt1,omgvodka,7.0
mokouliszt1,oniyadayo,17.0
mokouliszt1,spygea,12.0
mokouliszt1,stylishnoob4,18.0
mokouliszt1,ta1yo_tv,5.0
mokouliszt1,yoshinama222,8.0
mokouliszt1,yufuna,8.0
nniru,fps_shaka,9.0
nniru,spygea,5.0
nniru,stylishnoob4,8.0
oniyadayo,crylixblooom,9.0
oniyadayo,dasoku_aniki,5.0
oniyadayo,dmf_kyochan,5.0
oniyadayo,euriece,11.0
oniyadayo,fps_shaka,15.0
oniyadayo,hanjoudesu,6.0
oniyadayo,kato_junichi0817,21.0
oniyadayo,mokouliszt1,8.0
oniyadayo,nniru,7.0
oniyadayo,selly55,5.0
oniyadayo,spygea,7.0
oniyadayo,stylishnoob4,14.0
spygea,euriece,5.0
spygea,fps_shaka,27.0
spygea,jasper7se,7.0
spygea,k4sen,5.0
spygea,kato_junichi0817,13.0
spygea,stylishnoob4,28.0
stylishnoob4,fps_shaka,20.0
stylishnoob4,jasper7se,5.0
stylishnoob4,k4sen,5.0
stylishnoob4,kato_junichi0817,8.0
stylishnoob4,spygea,13.0
yamatonjp,alelu,7.0
yamatonjp,dmf_kyochan,6.0
yamatonjp,dtn_mukai,8.0
yamatonjp,euriece,12.0
yamatonjp,fps_shaka,18.0
yamatonjp,genburten,8.0
yamatonjp,iitztimmy,6.0
yamatonjp,k4sen,11.0
yamatonjp,kato_junichi0817,14.0
yamatonjp,killin9hit,6.0
yamatonjp,nniru,10.0
yamatonjp,oniyadayo,5.0
yamatonjp,shibuyahal,5.0
yamatonjp,shivfps,6.0
yamatonjp,shomaru7,8.0
yamatonjp,spygea,14.0
yamatonjp,stylishnoob4,23.0
yamatonjp,yufuna,7.0
kanae_2434,fps_shaka,7.0
kanae_2434,raderaderader,9.0
kanae_2434,stylishnoob4,7.0
raderaderader,gutitubo,5.0
raderaderader,radersub,12.0
osamintinus3sei,fps_shaka,12.0
osamintinus3sei,im_slpx,5.0
osamintinus3sei,mmafu_,7.0
osamintinus3sei,nniru,26.0
osamintinus3sei,shibuyahal,5.0
osamintinus3sei,stylishnoob4,9.0
im_slpx,alelu,7.0
im_slpx,crylixblooom,7.0
im_slpx,euriece,7.0
im_slpx,fps_shaka,12.0
im_slpx,k4sen,5.0
im_slpx,mmafu_,19.0
im_slpx,nniru,33.0
im_slpx,oniyadayo,7.0
im_slpx,osamintinus3sei,20.0
im_slpx,raderaderader,6.0
im_slpx,shibuyahal,11.0
im_slpx,spygea,9.0
im_slpx,stylishnoob4,12.0
im_slpx,yufuna,8.0
mmafu_,alelu,5.0
mmafu_,euriece,5.0
mmafu_,fps_shaka,7.0
mmafu_,nniru,20.0
mmafu_,selly55,5.0
mmafu_,shibuyahal,5.0
mmafu_,stylishnoob4,5.0
mmafu_,yufuna,5.0
shibuyahal,aceu,5.0
shibuyahal,alelu,12.0
shibuyahal,euriece,5.0
shibuyahal,fps_shaka,13.0
shibuyahal,genburten,6.0
shibuyahal,kanae_2434,5.0
shibuyahal,mmafu_,6.0
shibuyahal,nniru,13.0
