Source,Target,Weight
hanryang1125,aba4647,10.0
hanryang1125,handongsuk,16.0
hanryang1125,lck_korea,14.0
hanryang1125,obm1025,10.0
hanryang1125,saddummy,16.0
hanryang1125,woowakgood,16.0
hanryang1125,yapyap30,12.0
hanryang1125,zilioner,22.0
aba4647,dopa24,9.0
aba4647,faker,7.0
aba4647,lck_korea,5.0
aba4647,obm1025,6.0
aba4647,paka9999,17.0
aba4647,qcnb123,5.0
aba4647,tmxk319,18.0
dopa24,aba4647,8.0
dopa24,paka9999,9.0
dopa24,tmxk319,8.0
paka9999,aba4647,25.0
paka9999,dopa24,6.0
paka9999,obm1025,5.0
paka9999,tmxk319,17.0
obm1025,chodan_,5.0
obm1025,sunbaking,6.0
tmxk319,aba4647,8.0
tmxk319,faker,5.0
tmxk319,handongsuk,6.0
tmxk319,lck_korea,7.0
tmxk319,paka9999,9.0
faker,loltyler1,6.0
loltyler1,ludwig,5.0
loltyler1,myth,5.0
loltyler1,riotgames,6.0
ludwig,fuslie,5.0
ludwig,mizkif,8.0
ludwig,pokimane,11.0
ludwig,ranboolive,5.0
ludwig,xqcow,7.0
myth,nickmercs,5.0
myth,ninja,6.0
myth,shroud,8.0
myth,sykkuno,5.0
myth,tfue,6.0
myth,xqcow,6.0
lck_korea,faker,8.0
lck_korea,gumayusi,6.0
lck_korea,riotgames,9.0
lck_korea,t1_cuzz,5.0
lck_korea,t1_keria,7.0
lck_korea,t1_oner,6.0
lck_korea,t1_teddy,7.0
lck_korea,wildriftesports,6.0
gumayusi,canna,7.0
gumayusi,faker,16.0
gumayusi,hanssama,6.0
gumayusi,lck,6.0
gumayusi,lck_korea,5.0
gumayusi,lol_nemesis,5.0
gumayusi,loltyler1,5.0
gumayusi,rekkles,5.0
gumayusi,t1_keria,10.0
gumayusi,t1_oner,5.0
canna,faker,28.0
canna,gumayusi,18.0
canna,lck_korea,9.0
canna,riotgames,5.0
canna,t1_cuzz,13.0
canna,t1_ellim,6.0
canna,t1_keria,15.0
canna,t1_oner,15.0
canna,t1_teddy,18.0
canna,t1esports,7.0
hanssama,caedrel,9.0
hanssama,drututt,6.0
hanssama,dzukill,6.0
hanssama,faker,6.0
hanssama,jankos,6.0
hanssama,lol_nemesis,7.0
hanssama,otplol_,5.0
hanssama,ratirl,6.0
