Source,Target,Weight
ironmouse,CDawgVA,28.0
ironmouse,nyanners,10.0
CDawgVA,CriticalRole,4.0
CDawgVA,ironmouse,18.0
CDawgVA,ludwig,4.0
CDawgVA,moistcr1tikal,4.0
CDawgVA,nyanners,9.0
CDawgVA,projektmelody,7.0
CDawgVA,veibae,10.0
CDawgVA,xQcOW,4.0
ludwig,GeorgeNotFound,5.0
ludwig,Mizkif,4.0
ludwig,QTCinderella,4.0
ludwig,Quackity,4.0
ludwig,RanbooLive,4.0
ludwig,Sykkuno,8.0
ludwig,Tubbo,5.0
ludwig,moistcr1tikal,7.0
ludwig,pokimane,5.0
ludwig,summit1g,4.0
ludwig,tommyinnit,4.0
ludwig,xQcOW,4.0
GeorgeNotFound,BadBoyHalo,9.0
GeorgeNotFound,DreamAlt_,4.0
GeorgeNotFound,Foolish_Gamers,5.0
GeorgeNotFound,Fundy,4.0
GeorgeNotFound,JackManifoldTV,6.0
GeorgeNotFound,JustaMinx,8.0
GeorgeNotFound,Nihachu,10.0
GeorgeNotFound,Philza,11.0
GeorgeNotFound,Quackity,14.0
GeorgeNotFound,QuackityToo,9.0
GeorgeNotFound,RanbooLive,19.0
GeorgeNotFound,Sapnap,17.0
GeorgeNotFound,Sykkuno,6.0
GeorgeNotFound,Technoblade,5.0
GeorgeNotFound,ThisIsNotGeorgeNotFound,10.0
GeorgeNotFound,Tubbo,19.0
GeorgeNotFound,TubboLIVE,10.0
GeorgeNotFound,WilburSoot,11.0
GeorgeNotFound,dreamwastaken,30.0
GeorgeNotFound,hannahxxrose,4.0
GeorgeNotFound,karljacobs,10.0
GeorgeNotFound,ranboobutnot,4.0
GeorgeNotFound,sapnapalt,9.0
GeorgeNotFound,skeppy,5.0
GeorgeNotFound,tommyinnit,26.0
GeorgeNotFound,tommyinnitalt,13.0
BadBoyHalo,Antfrost,4.0
BadBoyHalo,CaptainPuffy,11.0
BadBoyHalo,DreamAlt_,4.0
BadBoyHalo,DropsByPonk,5.0
BadBoyHalo,Eret,4.0
BadBoyHalo,Foolish_Gamers,5.0
BadBoyHalo,Fundy,16.0
BadBoyHalo,GeorgeNotFound,27.0
BadBoyHalo,JackManifoldTV,11.0
BadBoyHalo,JustaMinx,10.0
BadBoyHalo,Nihachu,14.0
BadBoyHalo,Philza,14.0
