Source,Target,Weight
lilypichu,Corpse_Husband,49.0
lilypichu,DisguisedToast,128.0
lilypichu,Foolish_Gamers,12.0
lilypichu,GenshinImpactOfficial,29.0
lilypichu,HasanAbi,22.0
lilypichu,Kyedae,30.0
lilypichu,Masayoshi,18.0
lilypichu,Natsumiii,12.0
lilypichu,QuarterJade,46.0
lilypichu,Sapnap,6.0
lilypichu,Sykkuno,204.0
lilypichu,TenZ,43.0
lilypichu,TinaKitten,86.0
lilypichu,WilburSoot,43.0
lilypichu,antonychenn,13.0
lilypichu,dish,15.0
lilypichu,dota2ti,6.0
lilypichu,fuslie,59.0
lilypichu,karljacobs,19.0
lilypichu,kkatamina,40.0
lilypichu,ludwig,107.0
lilypichu,michaelreeves,272.0
lilypichu,moistcr1tikal,57.0
lilypichu,pokimane,216.0
lilypichu,shroud,30.0
lilypichu,tuonto,30.0
lilypichu,yvonnie,77.0
Corpse_Husband,5uppp,43.0
Corpse_Husband,Antfrost,67.0
Corpse_Husband,DannyGoonzalez,3.0
Corpse_Husband,DreamAlt_,52.0
Corpse_Husband,EmmaLangevin,32.0
Corpse_Husband,Fundy,183.0
Corpse_Husband,GeorgeNotFound,369.0
Corpse_Husband,HBomb94,20.0
Corpse_Husband,JackManifoldTV,258.0
Corpse_Husband,Nihachu,286.0
Corpse_Husband,PhilzALT,18.0
Corpse_Husband,Philza,273.0
Corpse_Husband,Quackity,332.0
Corpse_Husband,QuackityToo,228.0
Corpse_Husband,RanbooLive,384.0
Corpse_Husband,Sapnap,309.0
Corpse_Husband,Seapeekay,3.0
Corpse_Husband,Sykkuno,511.0
Corpse_Husband,ThisIsNotGeorgeNotFound,197.0
Corpse_Husband,TinaKitten,233.0
Corpse_Husband,Tubbo,353.0
Corpse_Husband,TubboLIVE,173.0
Corpse_Husband,WilburSoot,342.0
Corpse_Husband,awesamdude,95.0
Corpse_Husband,beautie_,46.0
Corpse_Husband,dreamwastaken,427.0
Corpse_Husband,hannahxxrose,73.0
Corpse_Husband,karljacobs,333.0
Corpse_Husband,karlnetwork,187.0
Corpse_Husband,neimki,37.0
Corpse_Husband,pokimane,201.0
Corpse_Husband,ranboobutnot,145.0
Corpse_Husband,tommyinnit,397.0
Corpse_Husband,tommyinnitalt,180.0
5uppp,Antfrost,90.0
5uppp,BadBoyHalo,134.0
5uppp,BobRoss,6.0
5uppp,BoomerNA,48.0
5uppp,BrookeAB,35.0
5uppp,CaptainPuffy,121.0
5uppp,ConnorEatsPants,23.0
5uppp,Corpse_Husband,158.0
