Source,Target,Weight
pokimane,AdinRoss,9.0
pokimane,Corpse_Husband,12.0
pokimane,DanTDM,10.0
pokimane,GeorgeNotFound,12.0
pokimane,Kyedae,11.0
pokimane,NickEh30,12.0
pokimane,Nihachu,9.0
pokimane,QuarterJade,9.0
pokimane,RanbooLive,12.0
pokimane,ShahZaM,15.0
pokimane,Sykkuno,31.0
pokimane,TenZ,20.0
pokimane,VALORANT,12.0
pokimane,dreamwastaken,20.0
pokimane,ludwig,19.0
pokimane,shroud,22.0
pokimane,tommyinnit,26.0
pokimane,xQcOW,18.0
Corpse_Husband,BadBoyHalo,9.0
Corpse_Husband,Eret,4.0
Corpse_Husband,Fundy,6.0
Corpse_Husband,GeorgeNotFound,22.0
Corpse_Husband,JackManifoldTV,8.0
Corpse_Husband,Markiplier,6.0
Corpse_Husband,Natsumiii,3.0
Corpse_Husband,Nihachu,12.0
Corpse_Husband,PhilzALT,3.0
Corpse_Husband,Philza,11.0
Corpse_Husband,Purpled,5.0
Corpse_Husband,Quackity,19.0
Corpse_Husband,QuackityToo,17.0
Corpse_Husband,QuarterJade,4.0
Corpse_Husband,RanbooLive,24.0
Corpse_Husband,Sapnap,17.0
Corpse_Husband,Slimecicle,7.0
Corpse_Husband,Sykkuno,26.0
Corpse_Husband,ThisIsNotGeorgeNotFound,7.0
Corpse_Husband,TinaKitten,4.0
Corpse_Husband,Tubbo,17.0
Corpse_Husband,TubboLIVE,9.0
Corpse_Husband,WilburSoot,15.0
Corpse_Husband,awesamdude,6.0
Corpse_Husband,dreamwastaken,27.0
Corpse_Husband,fuslie,3.0
Corpse_Husband,hannahxxrose,3.0
Corpse_Husband,ironmouse,4.0
Corpse_Husband,jschlatt,5.0
Corpse_Husband,karljacobs,11.0
Corpse_Husband,karlnetwork,5.0
Corpse_Husband,lilypichu,3.0
Corpse_Husband,ludwig,5.0
Corpse_Husband,pokimane,14.0
Corpse_Husband,purpled_alt,3.0
Corpse_Husband,ranbooalt,4.0
Corpse_Husband,ranboobutnot,9.0
Corpse_Husband,sapnapalt,3.0
Corpse_Husband,skeppy,7.0
Corpse_Husband,tommyinnit,19.0
Corpse_Husband,vinnie,3.0
BadBoyHalo,Antfrost,18.0
BadBoyHalo,CaptainPuffy,45.0
BadBoyHalo,ConnorEatsPants,3.0
BadBoyHalo,Corpse_Husband,15.0
BadBoyHalo,DropsByPonk,21.0
BadBoyHalo,Eret,28.0
BadBoyHalo,Foolish_Gamers,32.0
BadBoyHalo,Fundy,65.0
BadBoyHalo,GeorgeNotFound,151.0
BadBoyHalo,JackManifoldTV,59.0
BadBoyHalo,JustaMinx,20.0
BadBoyHalo,Nihachu,84.0
BadBoyHalo,Philza,77.0
BadBoyHalo,Punz,36.0
BadBoyHalo,Purpled,28.0
BadBoyHalo,Quackity,105.0
BadBoyHalo,QuackityToo,65.0
BadBoyHalo,RanbooLive,123.0
BadBoyHalo,Sapnap,114.0
BadBoyHalo,Slimecicle,36.0
BadBoyHalo,Sykkuno,12.0
BadBoyHalo,Technoblade,49.0
BadBoyHalo,ThisIsNotGeorgeNotFound,58.0
BadBoyHalo,Tubbo,123.0
BadBoyHalo,TubboLIVE,61.0
BadBoyHalo,WilburSoot,119.0
BadBoyHalo,awesamdude,28.0
BadBoyHalo,dreamwastaken,161.0
BadBoyHalo,hannahxxrose,40.0
BadBoyHalo,jschlatt,21.0
BadBoyHalo,karljacobs,103.0
BadBoyHalo,karlnetwork,35.0
BadBoyHalo,ranboobutnot,30.0
BadBoyHalo,sapnapalt,39.0
BadBoyHalo,skeppy,90.0
BadBoyHalo,techneoblade,25.0
BadBoyHalo,tommyinnit,141.0
BadBoyHalo,tommyinnitalt,46.0
Eret,Antfrost,12.0
Eret,BadBoyHalo,16.0
Eret,Badlinu,3.0
Eret,CaptainPuffy,24.0
Eret,CaptainSparklez,3.0
Eret,ConnorEatsPants,6.0
Eret,Corpse_Husband,3.0
Eret,DropsByPonk,9.0
Eret,Foolish_Gamers,15.0
Eret,Fundy,15.0
Eret,GeorgeNotFound,18.0
Eret,HBomb94,5.0
Eret,JackManifoldTV,19.0
Eret,JustaMinx,10.0
Eret,Michaelmcchill,3.0
Eret,Nihachu,19.0
Eret,Philza,22.0
Eret,Punz,13.0
Eret,Purpled,12.0
Eret,Quackity,17.0
Eret,QuackityToo,15.0
Eret,RanbooLive,20.0
Eret,Sapnap,14.0
Eret,Slimecicle,17.0
Eret,Sneegsnag,4.0
Eret,Sykkuno,4.0
Eret,Technoblade,10.0
Eret,ThisIsNotGeorgeNotFound,7.0
Eret,Tubbo,17.0
Eret,TubboLIVE,13.0
Eret,WilburSoot,23.0
Eret,awesamdude,11.0
Eret,beautie_,5.0
Eret,dreamwastaken,16.0
Eret,hannahxxrose,6.0
Eret,jschlatt,12.0
Eret,karljacobs,14.0
Eret,karlnetwork,8.0
Eret,neimki,5.0
