Source,Target,Weight
pokimane,AdinRoss,6
pokimane,Corpse_Husband,8
pokimane,DanTDM,6
pokimane,GeorgeNotFound,8
pokimane,Kyedae,8
pokimane,NickEh30,6
pokimane,Nihachu,6
pokimane,QuarterJade,6
pokimane,RanbooLive,8
pokimane,ShahZaM,12
pokimane,Sykkuno,24
pokimane,TenZ,16
pokimane,VALORANT,8
pokimane,dreamwastaken,15
pokimane,ludwig,16
pokimane,shroud,17
pokimane,tommyinnit,22
pokimane,xQcOW,12
Corpse_Husband,BadBoyHalo,9
Corpse_Husband,Eret,4
Corpse_Husband,Fundy,6
Corpse_Husband,GeorgeNotFound,22
Corpse_Husband,JackManifoldTV,8
Corpse_Husband,Markiplier,6
Corpse_Husband,Natsumiii,3
Corpse_Husband,Nihachu,12
Corpse_Husband,PhilzALT,3
Corpse_Husband,Philza,11
Corpse_Husband,Purpled,5
Corpse_Husband,Quackity,19
Corpse_Husband,QuackityToo,17
Corpse_Husband,QuarterJade,4
Corpse_Husband,RanbooLive,24
Corpse_Husband,Sapnap,17
Corpse_Husband,Slimecicle,7
Corpse_Husband,Sykkuno,26
Corpse_Husband,ThisIsNotGeorgeNotFound,7
Corpse_Husband,TinaKitten,4
Corpse_Husband,Tubbo,17
Corpse_Husband,TubboLIVE,9
Corpse_Husband,WilburSoot,15
Corpse_Husband,awesamdude,6
Corpse_Husband,dreamwastaken,27
Corpse_Husband,fuslie,3
Corpse_Husband,hannahxxrose,3
Corpse_Husband,ironmouse,4
Corpse_Husband,jschlatt,5
Corpse_Husband,karljacobs,11
Corpse_Husband,karlnetwork,5
Corpse_Husband,lilypichu,3
Corpse_Husband,ludwig,5
Corpse_Husband,pokimane,14
Corpse_Husband,purpled_alt,3
Corpse_Husband,ranbooalt,4
Corpse_Husband,ranboobutnot,9
Corpse_Husband,sapnapalt,3
Corpse_Husband,skeppy,7
Corpse_Husband,tommyinnit,19
Corpse_Husband,vinnie,3
BadBoyHalo,Antfrost,18
BadBoyHalo,CaptainPuffy,45
BadBoyHalo,ConnorEatsPants,3
BadBoyHalo,Corpse_Husband,15
