,streamer,Links_To,count
0,shroud,123crxssd,2
1,shroud,39daph,2
2,shroud,72hrs,2
3,shroud,AKAimless,2
4,shroud,ALICETVx,2
5,shroud,AbusivePillow_,2
6,shroud,Acie,2
7,shroud,AdinRoss,2
8,shroud,AimBotkin,2
9,shroud,AiryLolicop,2
10,shroud,Alex_Zedra,2
11,shroud,Amouranth,6
12,shroud,AngryJoeShow,2
13,shroud,Anton,2
14,shroud,AraytheAwesome,2
15,shroud,ArtificialNext,2
16,shroud,AshesofCreation,2
17,shroud,Asmongold,12
18,shroud,Attackerdota,2
19,shroud,AustinShow,2
20,shroud,AverageJonas,2
21,shroud,Axel_tv,2
22,shroud,Aydan,4
23,shroud,BagginsTV,2
24,shroud,BahAlita,2
25,shroud,Ballatw,2
26,shroud,BananaSlamJamma,2
27,shroud,Bax_CD,2
28,shroud,BeyondTheSummit2,2
29,shroud,Bluddshed,2
30,shroud,BodaciousBird,2
31,shroud,BruceDropEmOff,2
32,shroud,BurkeBlack,2
33,shroud,ByBreekz,2
34,shroud,Cadeforlife,2
35,shroud,Calculator,2
36,shroud,Clix,2
37,shroud,CodeMiko,4
38,shroud,CohhCarnage,2
39,shroud,CottonandCreme,2
40,shroud,CritterVision,2
41,shroud,CritterVisionBackyard,2
42,shroud,Crossmauz,2
43,shroud,CursedArachnid,2
44,shroud,DaDoinkster,2
45,shroud,DaggerXIV,2
46,shroud,DaltonCross,2
47,shroud,DannehTV,2
48,shroud,Dareon,2
49,shroud,Delta_Free,2
50,shroud,Dezignful,2
51,shroud,DictatorZNorth,2
52,shroud,DjMrT,2
53,shroud,Dmitry_Lixxx,2
54,shroud,Docgotgame,2
55,shroud,DossierChannel,2
56,shroud,DoubleDoor79,2
57,shroud,DreamLeague,2
58,shroud,EA9LE_,2
59,shroud,ELYSIUMfps,2
60,shroud,ESL_DOTA2,2
61,shroud,EggsSOT,2
62,shroud,EsfandTV,6
63,shroud,EsportsArena,2
64,shroud,Evelone192,2
65,shroud,ExfilCamper,2
66,shroud,Faide,2
67,shroud,FavoriteChicken,2
68,shroud,Fextralife,6
69,shroud,Flight23white,4
70,shroud,FoxenKin,2
71,shroud,FriendZieTV,2
72,shroud,FunkBomb,2
73,shroud,Galadriex,2
74,shroud,Gaules,2
75,shroud,Gemntonic,2
76,shroud,GeneralSam123,2
77,shroud,Generikb,2
78,shroud,GenesisWilmer,2
79,shroud,Goes_x,2
80,shroud,Greekgodx,2
81,shroud,Grimmmz,4
82,shroud,Grizzy,4
83,shroud,GulfDeltaHotel,2
84,shroud,Hargalaten,2
85,shroud,HasanAbi,2
86,shroud,HeavenlyController,2
87,shroud,Heelmike,2
88,shroud,Henry,2
89,shroud,Hersh,2
90,shroud,HitboTC,2
91,shroud,HoneyBadger,2
92,shroud,Iam_Cooper0_o,2
93,shroud,IceManIsaac,2
94,shroud,ImLizy,2
95,shroud,ImT3mpy,2
96,shroud,Im_Dontai,2
97,shroud,ItsSliker,4
98,shroud,JRIDLEY_,2
99,shroud,JackFireFoxTV,2
100,shroud,JaguarxPaw,2
101,shroud,Jameskii,2
102,shroud,Japadonordeste,2
103,shroud,Jartini,2
104,shroud,Jawsh,2
105,shroud,JeevesDotaTV,2
106,shroud,JerAxai,2
107,shroud,JonahVeil,2
108,shroud,JoshOG,2
109,shroud,JuliaBurch,2
110,shroud,JustaMinx,2
111,shroud,KManu88,2
112,shroud,KNITEcoser,2
113,shroud,Karmakut,2
114,shroud,Katie,2
115,shroud,Katrine,2
116,shroud,KhanDBL,2
117,shroud,KingKongBDO,2
118,shroud,Klean,2
119,shroud,Knut,2
120,shroud,Kyatanna4119,2
121,shroud,Kyedae,2
122,shroud,LCS,2
123,shroud,LDSylvr,2
124,shroud,LVNDMARK,4
125,shroud,LaureBV,2
126,shroud,LetsGameItOut,2
127,shroud,Loeya,2
128,shroud,LokenPlays,2
129,shroud,LyanaFay,2
130,shroud,MARTIIEx,2
131,shroud,MadiHunni,2
132,shroud,MaestroJefe,2
133,shroud,MatmanBatman67,2
134,shroud,McNastyOfficial,2
135,shroud,Mewlies,2
136,shroud,Mizkif,4
137,shroud,Mongraal,2
138,shroud,Morganepdh,2
139,shroud,Mr3lmar,2
140,shroud,MrLlamaSC,4
141,shroud,NICKMERCS,10
142,shroud,NRG_Hamlinz,4
143,shroud,Nabeano,2
144,shroud,Neenoh,2
145,shroud,NishimiyaGaming,2
146,shroud,Nixxiom,2
147,shroud,Nmplol,2
148,shroud,NotAestheticallyHannah,2
149,shroud,NymN,2
150,shroud,ODPixel,2
151,shroud,ONEEsports,2
152,shroud,ORIGINPC,2
153,shroud,Ohcam_OG,2
154,shroud,OmidLive,2
155,shroud,Otzdarva,2
156,shroud,P0LAND,2
157,shroud,PGL_Dota2,2
158,shroud,PUBGKorea,2
159,shroud,PUBG_BATTLEGROUNDS,2
160,shroud,PWRDEsports1,2
161,shroud,Paiinzer0,2
162,shroud,PandaTV,2
163,shroud,ParadoxInteractive,2
164,shroud,Patriota,2
165,shroud,Pepp,2
166,shroud,Pestily,2
167,shroud,Poyoniii,2
168,shroud,PrettyinPinker,2
169,shroud,Prizzaa,2
170,shroud,ProfKickass,2
171,shroud,PurgeGamers,2
172,shroud,Pyromancer,2
173,shroud,Qrow_OW,2
174,shroud,Quackity,2
175,shroud,Raelilblack,2
176,shroud,RainyRainDrops,2
177,shroud,RatedEpicz,2
178,shroud,Ravileon,2
179,shroud,Recrent,2
180,shroud,Reetlol,2
181,shroud,Rescue,2
182,shroud,RetroMMO,2
183,shroud,Rogue,2
184,shroud,Rubius,2
185,shroud,Russel,2
186,shroud,SMODOG4,2
187,shroud,SR_Daz,2
188,shroud,SR_Kaif,2
189,shroud,SR_Sam,2
190,shroud,Sacriel,2
191,shroud,Seph_GamesTV,2
192,shroud,SerMedieval,2
193,shroud,SergeantWayne,2
194,shroud,ShahZaM,2
195,shroud,ShivFPS,2
196,shroud,Siritron,2
197,shroud,Slynations,2
198,shroud,Sn0wyCat,2
199,shroud,Snip3down,4
200,shroud,SnipingSoup,2
201,shroud,SoHoWTF,2
202,shroud,SoyChuchito,2
203,shroud,StableRonaldo,2
204,shroud,StoneMountain64,2
205,shroud,Stray228,2
206,shroud,StreamCamsMediaGaming,2
207,shroud,StreamerHouse,2
208,shroud,StripedRoxy,2
209,shroud,SupremaOnika,2
210,shroud,SwaggerSouls,4
211,shroud,Sweatcicle,2
212,shroud,Sweet_Anita,2
213,shroud,Swifty,2
214,shroud,Sykkuno,8
215,shroud,SylveeVT,2
216,shroud,Symfuhny,2
217,shroud,TGLTN,2
218,shroud,THERUSSIANBADGER,2
219,shroud,TSM_ImperialHal,4
220,shroud,TSM_Reps,4
221,shroud,Tanxlive,2
222,shroud,Technoblade,2
223,shroud,Tectone,2
224,shroud,TenZ,2
225,shroud,TeosGame,2
226,shroud,Tfue,4
227,shroud,ThatRPGuy,2
228,shroud,TheLiLHodges,2
229,shroud,ThePrimeagen,2
230,shroud,TheVideoNerdYT,2
231,shroud,The_Glocktane,2
232,shroud,TimTheTatman,6
233,shroud,Topsonous,2
234,shroud,Towelliee,2
235,shroud,ToxicDthumper,2
236,shroud,Trainwreckstv,6
237,shroud,UnkyPaps,2
238,shroud,VADIKUS007,2
239,shroud,VALORANT,6
240,shroud,VASTgg,2
241,shroud,Vantastisch,2
242,shroud,Vargskelethor,2
243,shroud,VioletLex,2
244,shroud,Vitecp,2
245,shroud,Vyruss01,2
246,shroud,Warframe,2
247,shroud,WhatsLifeLikePodcast,2
