Source,Target,Weight
yvonnie,DisguisedToast,36.0
yvonnie,HasanAbi,8.0
yvonnie,Masayoshi,8.0
yvonnie,Philza,8.0
yvonnie,Quackity,8.0
yvonnie,QuarterJade,16.0
yvonnie,Scarra,22.0
yvonnie,Sykkuno,30.0
yvonnie,TinaKitten,12.0
yvonnie,boxbox,8.0
yvonnie,fuslie,22.0
yvonnie,itsRyanHiga,12.0
yvonnie,lilypichu,28.0
yvonnie,ludwig,10.0
yvonnie,michaelreeves,18.0
yvonnie,moistcr1tikal,10.0
yvonnie,peterparkTV,10.0
yvonnie,pokimane,24.0
yvonnie,xQcOW,8.0
DisguisedToast,Corpse_Husband,8.0
DisguisedToast,Masayoshi,5.0
DisguisedToast,QuarterJade,6.0
DisguisedToast,Sykkuno,18.0
DisguisedToast,TinaKitten,9.0
DisguisedToast,fuslie,6.0
DisguisedToast,lilypichu,10.0
DisguisedToast,ludwig,5.0
DisguisedToast,michaelreeves,6.0
DisguisedToast,moistcr1tikal,4.0
DisguisedToast,pokimane,10.0
Corpse_Husband,BadBoyHalo,4.0
Corpse_Husband,CaptainPuffy,7.0
Corpse_Husband,CaptainSparklez,5.0
Corpse_Husband,Foolish_Gamers,6.0
Corpse_Husband,Fundy,5.0
Corpse_Husband,GeorgeNotFound,9.0
Corpse_Husband,JackManifoldTV,10.0
Corpse_Husband,JustaMinx,5.0
Corpse_Husband,Nihachu,9.0
Corpse_Husband,Philza,11.0
Corpse_Husband,Punz,7.0
Corpse_Husband,Quackity,10.0
Corpse_Husband,QuackityToo,6.0
Corpse_Husband,RanbooLive,10.0
Corpse_Husband,Sapnap,11.0
Corpse_Husband,Smajor,4.0
Corpse_Husband,Sykkuno,17.0
Corpse_Husband,ThisIsNotGeorgeNotFound,5.0
Corpse_Husband,TinaKitten,11.0
Corpse_Husband,Tubbo,11.0
Corpse_Husband,TubboLIVE,5.0
Corpse_Husband,WilburSoot,9.0
Corpse_Husband,aimsey,7.0
Corpse_Husband,dreamwastaken,12.0
Corpse_Husband,fuslie,4.0
Corpse_Husband,hannahxxrose,4.0
Corpse_Husband,jschlatt,5.0
Corpse_Husband,karljacobs,13.0
Corpse_Husband,karlnetwork,10.0
Corpse_Husband,pokimane,5.0
Corpse_Husband,ranboobutnot,8.0
Corpse_Husband,sapnapalt,7.0
Corpse_Husband,tommyinnit,10.0
Corpse_Husband,tommyinnitalt,5.0
BadBoyHalo,CaptainPuffy,11.0
BadBoyHalo,Foolish_Gamers,4.0
BadBoyHalo,Fundy,14.0
BadBoyHalo,GeorgeNotFound,25.0
BadBoyHalo,JackManifoldTV,6.0
BadBoyHalo,JustaMinx,6.0
BadBoyHalo,Nihachu,11.0
BadBoyHalo,Philza,12.0
BadBoyHalo,Purpled,4.0
BadBoyHalo,Quackity,18.0
BadBoyHalo,QuackityToo,7.0
BadBoyHalo,RanbooLive,20.0
BadBoyHalo,Sapnap,21.0
BadBoyHalo,Technoblade,7.0
BadBoyHalo,ThisIsNotGeorgeNotFound,6.0
BadBoyHalo,TinaKitten,4.0
BadBoyHalo,Tubbo,24.0
BadBoyHalo,TubboLIVE,9.0
BadBoyHalo,WilburSoot,20.0
BadBoyHalo,awesamdude,5.0
BadBoyHalo,dreamwastaken,26.0
BadBoyHalo,hannahxxrose,10.0
BadBoyHalo,jschlatt,4.0
BadBoyHalo,karljacobs,24.0
BadBoyHalo,karlnetwork,6.0
BadBoyHalo,ranboobutnot,4.0
BadBoyHalo,sapnapalt,4.0
BadBoyHalo,skeppy,16.0
BadBoyHalo,tommyinnit,26.0
BadBoyHalo,tommyinnitalt,5.0
CaptainPuffy,Antfrost,5.0
CaptainPuffy,BadBoyHalo,20.0
CaptainPuffy,BoomerNA,4.0
CaptainPuffy,CaptainSparklez,4.0
CaptainPuffy,Corpse_Husband,4.0
CaptainPuffy,DropsByPonk,5.0
CaptainPuffy,Eret,6.0
CaptainPuffy,Foolish_Gamers,10.0
CaptainPuffy,Fundy,17.0
CaptainPuffy,GeorgeNotFound,17.0
CaptainPuffy,HBomb94,4.0
CaptainPuffy,JackManifoldTV,10.0
CaptainPuffy,JustaMinx,10.0
CaptainPuffy,Nihachu,20.0
CaptainPuffy,Philza,16.0
CaptainPuffy,Punz,10.0
CaptainPuffy,Purpled,10.0
CaptainPuffy,Quackity,12.0
CaptainPuffy,QuackityToo,7.0
CaptainPuffy,RanbooLive,17.0
CaptainPuffy,Sapnap,17.0
CaptainPuffy,Sykkuno,6.0
CaptainPuffy,Technoblade,9.0
CaptainPuffy,ThisIsNotGeorgeNotFound,8.0
CaptainPuffy,TinaKitten,8.0
CaptainPuffy,Tubbo,19.0
CaptainPuffy,TubboLIVE,10.0
CaptainPuffy,WilburSoot,24.0
CaptainPuffy,aimsey,7.0
CaptainPuffy,awesamdude,7.0
CaptainPuffy,dreamwastaken,21.0
CaptainPuffy,hannahxxrose,13.0
CaptainPuffy,jschlatt,4.0
CaptainPuffy,karljacobs,19.0
CaptainPuffy,karlnetwork,8.0
CaptainPuffy,pokimane,5.0
CaptainPuffy,ranboobutnot,6.0
CaptainPuffy,sapnapalt,11.0
CaptainPuffy,skeppy,15.0
