Tue Nov 16 20:12:31 2021    output.dat

         34696835 function calls (34665815 primitive calls) in 2745.143 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  4056741    5.292    0.000    5.292    0.000 {method 'decode' of 'bytes' objects}
2799421/2799420    3.880    0.000    4.704    0.000 {built-in method builtins.isinstance}
  2244192    5.506    0.000    8.605    0.000 /usr/lib/python3.8/os.py:752(decode)
  2093291    2.629    0.000    2.629    0.000 {method 'lower' of 'str' objects}
  1880569    2.245    0.000    2.245    0.000 {built-in method builtins.ord}
1603159/1593847    2.216    0.000    2.390    0.000 {method 'encode' of 'str' objects}
  1285056    5.442    0.000   29.871    0.000 /usr/lib/python3.8/_collections_abc.py:742(__iter__)
  1196598    4.517    0.000    7.454    0.000 /usr/lib/python3.8/os.py:748(encode)
  1196598    5.465    0.000   17.323    0.000 /usr/lib/python3.8/os.py:670(__getitem__)
  1164000    3.129    0.000    7.329    0.000 /usr/lib/python3.8/os.py:693(__iter__)
   973104    1.739    0.000    1.829    0.000 {method 'read' of '_io.TextIOWrapper' objects}
   973104    1.207    0.000    1.207    0.000 /usr/lib/python3.8/shlex.py:68(punctuation_chars)
   715492    0.877    0.000    0.877    0.000 {method 'append' of 'list' objects}
559066/542413    0.799    0.000    0.851    0.000 {built-in method builtins.len}
   316608    0.436    0.000    0.436    0.000 {method 'partition' of 'str' objects}
   213180    0.669    0.000    0.915    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/requests/structures.py:48(__setitem__)
   206976    0.813    0.000    0.813    0.000 {method 'match' of 're.Pattern' objects}
   206697    0.261    0.000    0.261    0.000 {method 'join' of 'str' objects}
   200713    0.348    0.000    0.348    0.000 {method 'startswith' of 'str' objects}
   168497    0.271    0.000    0.274    0.000 {built-in method builtins.hasattr}
   162960    0.234    0.000    0.234    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/requests/structures.py:60(<genexpr>)
   157264    0.278    0.000    0.278    0.000 {method 'split' of 'str' objects}
   153650    0.197    0.000    0.197    0.000 /usr/lib/python3.8/urllib/parse.py:99(_noop)
   153650    0.661    0.000    0.928    0.000 /usr/lib/python3.8/urllib/parse.py:110(_coerce_args)
   145463    0.271    0.000    0.271    0.000 {method 'get' of 'dict' objects}
   144773    0.243    0.000    0.244    0.000 {built-in method builtins.getattr}
   132502    0.331    0.000    0.332    0.000 {built-in method _abc._abc_instancecheck}
   132502    0.343    0.000    0.675    0.000 /usr/lib/python3.8/abc.py:96(__instancecheck__)
   129167    0.209    0.000    0.210    0.000 {method 'update' of 'dict' objects}
   116933    0.169    0.000    0.169    0.000 {method 'find' of 'str' objects}
   116400    0.379    0.000    0.545    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/requests/structures.py:53(__getitem__)
   115404    0.309    0.000    0.462    0.000 /usr/lib/python3.8/email/utils.py:51(_has_surrogates)
   110748    0.428    0.000    1.001    0.000 /usr/lib/python3.8/email/_policybase.py:281(_sanitize_header)
   110748    0.265    0.000    1.266    0.000 /usr/lib/python3.8/email/_policybase.py:311(header_fetch_parse)
   107089    0.160    0.000    0.160    0.000 {method '__enter__' of '_thread.lock' objects}
   107089    0.143    0.000    0.143    0.000 {method '__exit__' of '_thread.lock' objects}
   107089    0.295    0.000    0.454    0.000 /usr/lib/python3.8/threading.py:246(__enter__)
   107089    0.303    0.000    0.446    0.000 /usr/lib/python3.8/threading.py:249(__exit__)
   107088    0.277    0.000    0.423    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/urllib3/util/queue.py:15(_qsize)
   102436    0.164    0.000    0.164    0.000 {method 'acquire' of '_thread.lock' objects}
   102433    0.269    0.000    0.432    0.000 /usr/lib/python3.8/threading.py:261(_is_owned)
   102432    0.411    0.000    0.844    0.000 /usr/lib/python3.8/threading.py:341(notify)
   101604    0.143    0.000    0.143    0.000 {method 'rstrip' of 'str' objects}
   101436    0.450    0.000    0.683    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/urllib3/_collections.py:156(__getitem__)
   100280    0.916    0.000    0.916    0.000 {built-in method __new__ of type object at 0x908780}
    96780    0.121    0.000    0.121    0.000 {method 'popleft' of 'collections.deque' objects}
    96780    0.338    0.000    0.448    0.000 /usr/lib/python3.8/email/feedparser.py:78(readline)
    96780    0.278    0.000    0.726    0.000 /usr/lib/python3.8/email/feedparser.py:128(__next__)
    94768    0.232    0.000  876.338    0.009 {method 'readline' of '_io.BufferedReader' objects}
    87468    0.125    0.000    0.125    0.000 {method 'lstrip' of 'str' objects}
    87468    0.149    0.000    0.158    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/urllib3/_collections.py:187(__iter__)
    85840    0.226    0.000    0.445    0.000 {built-in method builtins.any}
    83808    0.140    0.000    0.140    0.000 {method 'count' of 'str' objects}
    83808    0.185    0.000    0.485    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/urllib3/util/url.py:413(ensure_type)
    82812    0.127    0.000    0.127    0.000 {method 'setdefault' of 'collections.OrderedDict' objects}
    82812    0.338    0.000    0.565    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/urllib3/_collections.py:215(add)
    82812    0.234    0.000    0.333    0.000 /usr/lib/python3.8/email/message.py:479(set_raw)
    82812    0.589    0.000    1.041    0.000 /usr/lib/python3.8/email/_policybase.py:293(header_source_parse)
    80390    0.111    0.000    0.111    0.000 {method 'items' of 'dict' objects}
    79154    0.198    0.000    0.198    0.000 /usr/lib/python3.8/enum.py:631(__new__)
    79154    0.326    0.000    0.525    0.000 /usr/lib/python3.8/enum.py:313(__call__)
    79152    0.322    0.000    0.527    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/urllib3/packages/six.py:1015(ensure_text)
    74496    0.100    0.000    0.100    0.000 {method 'strip' of 'str' objects}
    74496    0.306    0.000    1.036    0.000 /usr/lib/python3.8/_collections_abc.py:657(get)
    69909    0.103    0.000    0.103    0.000 {method 'rpartition' of 'str' objects}
    69841    0.620    0.000    1.398    0.000 /usr/lib/python3.8/urllib/parse.py:417(urlsplit)
    69840    0.240    0.000    7.025    0.000 /usr/lib/python3.8/shlex.py:101(get_token)
