Wed Oct 27 02:54:07 2021    output.dat

         474150 function calls (473713 primitive calls) in 11.498 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      203    3.945    0.019    3.945    0.019 {method 'read' of '_ssl._SSLSocket' objects}
       60    2.354    0.039    2.354    0.039 {method 'do_handshake' of '_ssl._SSLSocket' objects}
       60    2.027    0.034    2.027    0.034 {method 'connect' of '_socket.socket' objects}
       60    1.510    0.025    1.511    0.025 {built-in method _socket.getaddrinfo}
       60    0.456    0.008    0.456    0.008 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
      420    0.062    0.000    0.117    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/urllib3/util/url.py:210(_encode_invalid_chars)
    31320    0.061    0.000    0.093    0.000 /usr/lib/python3.8/os.py:752(decode)
    61802    0.059    0.000    0.059    0.000 {method 'decode' of 'bytes' objects}
    17760    0.055    0.000    0.315    0.000 /usr/lib/python3.8/_collections_abc.py:742(__iter__)
    16624    0.054    0.000    0.183    0.000 /usr/lib/python3.8/os.py:670(__getitem__)
    16624    0.049    0.000    0.081    0.000 /usr/lib/python3.8/os.py:748(encode)
38243/38242    0.040    0.000    0.047    0.000 {built-in method builtins.isinstance}
      780    0.035    0.000    0.063    0.000 /usr/lib/python3.8/shlex.py:133(read_token)
    16200    0.033    0.000    0.079    0.000 /usr/lib/python3.8/os.py:693(__iter__)
       60    0.030    0.000    0.052    0.001 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/urllib3/connectionpool.py:479(close)
      300    0.030    0.000    0.345    0.001 /usr/lib/python3.8/urllib/request.py:2494(getproxies_environment)
    27620    0.028    0.000    0.028    0.000 {method 'lower' of 'str' objects}
    31093    0.027    0.000    0.027    0.000 {built-in method builtins.ord}
22431/22311    0.023    0.000    0.025    0.000 {method 'encode' of 'str' objects}
      278    0.017    0.000    0.017    0.000 {built-in method posix.stat}
    12540    0.015    0.000    0.016    0.000 {method 'read' of '_io.TextIOWrapper' objects}
    12540    0.012    0.000    0.012    0.000 /usr/lib/python3.8/shlex.py:68(punctuation_chars)
     9266    0.010    0.000    0.010    0.000 {method 'append' of 'list' objects}
     1273    0.009    0.000    0.009    0.000 {built-in method __new__ of type object at 0x908780}
       77    0.008    0.000    0.008    0.000 /mnt/c/Users/Bryan/Twitch Data Mine/twitch_data_mine_env/lib/python3.8/site-packages/requests/models.py:843(text)
