User,Games,language
109ace,"['Hearthstone', 'Just Chatting', 'StarCraft', 'League of Legends', 'Eternal Return: Black Survival']",Korean
22karubi,"['VALORANT', 'Apex Legends', 'Just Chatting', 'Overwatch', 'League of Legends']",Japanese
2chamcham2,"['League of Legends', 'LOST ARK', 'Just Chatting', 'Teamfight Tactics', ""PLAYERUNKNOWN'S BATTLEGROUNDS""]",Korean
39daph,"['Art', 'Minecraft', 'Final Fantasy XIV Online', 'The Sims 2', 'Genshin Impact']",English
5uppp,"['Among Us', 'Minecraft', 'VALORANT', 'Fall Guys: Ultimate Knockout', 'Just Chatting']",English
72hrs,"['Apex Legends', 'Fortnite', 'VALORANT', 'Call of Duty: Warzone', 'Dead by Daylight']",English
8cho,"['Just Chatting', 'Minecraft', ""I'm Only Sleeping"", 'Roblox', 'Knockout City']",Spanish
8ljaywalking,"['Teamfight Tactics', 'Legion TD 2', 'Just Chatting']",Korean
95pingman,"['Just Chatting', ""Tom Clancy's Rainbow Six Siege"", 'Minecraft', 'VALORANT', ""PLAYERUNKNOWN'S BATTLEGROUNDS""]",Korean
9ambler,"['League of Legends', 'Eternal Return', 'Just Chatting', 'Eternal Return: Black Survival', 'Apex Legends']",Korean
AdinRoss,"['Just Chatting', 'Grand Theft Auto V', 'NBA 2K22', 'Slots', 'Call of Duty: Black Ops Cold War']",English
AgenteMaxo,"['Just Chatting', 'Grand Theft Auto V', 'Star Citizen', 'Danganronpa: Trigger Happy Havoc', 'DayZ']",Spanish
Alanzoka,"['Just Chatting', 'Rocket League', 'Red Dead Redemption 2', 'Escape From Tarkov', 'Yakuza: Like a Dragon']",Portuguese
Alexby11,"['Just Chatting', 'Rust', 'Minecraft', 'DayZ', 'Fall Guys: Ultimate Knockout']",Spanish
Alinity,"['Just Chatting', 'Apex Legends', 'Mario Kart 8', 'Pools, Hot Tubs, and Beaches', 'Monopoly Plus']",English
Alliege,"['Fortnite', 'Just Chatting', 'Call of Duty: Warzone', 'Call of Duty: Black Ops Cold War', ""I'm Only Sleeping""]",Spanish
AlphaCast,"['Just Chatting', 'Valheim', 'Special Events', 'Grand Theft Auto V', 'Total War: Three Kingdoms']",French
Amouranth,"['ASMR', 'Just Chatting', 'Pools, Hot Tubs, and Beaches', 'Just Dance 2021', 'Mario Kart 8']",English
